Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2024-02-11,Nigeria,Côte d'Ivoire,1,2,A,African Cup of Nations,2023,African Cup of Nations
2024-02-10,South Africa,Congo DR,0,0,D,African Cup of Nations,2023,African Cup of Nations
2024-02-07,Côte d'Ivoire,Congo DR,1,0,H,African Cup of Nations,2023,African Cup of Nations
2024-02-07,Nigeria,South Africa,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-29,Senegal,Côte d'Ivoire,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-28,Equatorial Guinea,Guinea,0,1,A,African Cup of Nations,2023,African Cup of Nations
2024-02-03,Mali,Côte d'Ivoire,1,2,A,African Cup of Nations,2023,African Cup of Nations
2024-02-03,Cape Verde Islands,South Africa,0,0,D,African Cup of Nations,2023,African Cup of Nations
2024-01-30,Mali,Burkina Faso,2,1,H,African Cup of Nations,2023,African Cup of Nations
2024-02-02,Congo DR,Guinea,3,1,H,African Cup of Nations,2023,African Cup of Nations
2024-02-02,Nigeria,Angola,1,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-27,Angola,Namibia,3,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-30,Morocco,South Africa,0,2,A,African Cup of Nations,2023,African Cup of Nations
2024-01-29,Cape Verde Islands,Mauritania,1,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-28,Egypt,Congo DR,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-27,Nigeria,Cameroon,2,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-18,Egypt,Ghana,2,2,D,African Cup of Nations,2023,African Cup of Nations
2024-01-14,Nigeria,Equatorial Guinea,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-14,Egypt,Mozambique,2,2,D,African Cup of Nations,2023,African Cup of Nations
2024-01-14,Ghana,Cape Verde Islands,1,2,A,African Cup of Nations,2023,African Cup of Nations
2024-01-24,Zambia,Morocco,0,1,A,African Cup of Nations,2023,African Cup of Nations
2024-01-24,Tanzania,Congo DR,0,0,D,African Cup of Nations,2023,African Cup of Nations
2024-01-24,Namibia,Mali,0,0,D,African Cup of Nations,2023,African Cup of Nations
2024-01-24,South Africa,Tunisia,0,0,D,African Cup of Nations,2023,African Cup of Nations
2024-01-23,Mauritania,Algeria,1,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-23,Angola,Burkina Faso,2,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-23,Gambia,Cameroon,2,3,A,African Cup of Nations,2023,African Cup of Nations
2024-01-23,Guinea,Senegal,0,2,A,African Cup of Nations,2023,African Cup of Nations
2024-01-22,Cape Verde Islands,Egypt,2,2,D,African Cup of Nations,2023,African Cup of Nations
2024-01-22,Mozambique,Ghana,2,2,D,African Cup of Nations,2023,African Cup of Nations
2024-01-22,Guinea-Bissau,Nigeria,0,1,A,African Cup of Nations,2023,African Cup of Nations
2024-01-22,Equatorial Guinea,Côte d'Ivoire,4,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-21,South Africa,Namibia,4,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-21,Zambia,Tanzania,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-21,Morocco,Congo DR,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-20,Tunisia,Mali,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-20,Mauritania,Angola,2,3,A,African Cup of Nations,2023,African Cup of Nations
2024-01-20,Algeria,Burkina Faso,2,2,D,African Cup of Nations,2023,African Cup of Nations
2024-01-19,Guinea,Gambia,1,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-19,Senegal,Cameroon,3,1,H,African Cup of Nations,2023,African Cup of Nations
2024-01-19,Cape Verde Islands,Mozambique,3,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-18,Côte d'Ivoire,Nigeria,0,1,A,African Cup of Nations,2023,African Cup of Nations
2024-01-18,Equatorial Guinea,Guinea-Bissau,4,2,H,African Cup of Nations,2023,African Cup of Nations
2024-01-17,Congo DR,Zambia,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-17,Morocco,Tanzania,3,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-16,Tunisia,Namibia,0,1,A,African Cup of Nations,2023,African Cup of Nations
2024-01-16,Burkina Faso,Mauritania,1,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-16,Mali,South Africa,2,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-15,Algeria,Angola,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-15,Cameroon,Guinea,1,1,D,African Cup of Nations,2023,African Cup of Nations
2024-01-15,Senegal,Gambia,3,0,H,African Cup of Nations,2023,African Cup of Nations
2024-01-13,Côte d'Ivoire,Guinea-Bissau,2,0,H,African Cup of Nations,2023,African Cup of Nations
