Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-01,LASK,Sturm Graz,0,2,A,0,2,A,2025-26,AUSTRIAN_BL,1. Round
2025-08-02,Wolfsberger,SCR Altach,0,2,A,0,0,D,2025-26,AUSTRIAN_BL,1. Round
2025-08-02,WSG Tirol,TSV Hartberg,4,2,H,2,2,D,2025-26,AUSTRIAN_BL,1. Round
2025-08-02,SV Ried,RB Salzburg,2,2,D,1,1,D,2025-26,AUSTRIAN_BL,1. Round
2025-08-03,Rapid Wien,FC Blau Weiß Linz,1,0,H,1,0,H,2025-26,AUSTRIAN_BL,1. Round
2025-08-03,Grazer AK,Austria Wien,2,2,D,1,1,D,2025-26,AUSTRIAN_BL,1. Round
2025-08-09,FC Blau Weiß Linz,TSV Hartberg,0,1,A,0,1,A,2025-26,AUSTRIAN_BL,2. Round
2025-08-09,SCR Altach,SV Ried,1,0,H,0,0,D,2025-26,AUSTRIAN_BL,2. Round
2025-08-09,RB Salzburg,Grazer AK,5,0,H,1,0,H,2025-26,AUSTRIAN_BL,2. Round
2025-08-10,WSG Tirol,LASK,3,1,H,2,0,H,2025-26,AUSTRIAN_BL,2. Round
2025-08-10,Sturm Graz,Rapid Wien,1,2,A,0,0,D,2025-26,AUSTRIAN_BL,2. Round
2025-08-10,Austria Wien,Wolfsberger,0,2,A,0,2,A,2025-26,AUSTRIAN_BL,2. Round
2025-08-16,TSV Hartberg,RB Salzburg,1,2,A,0,1,A,2025-26,AUSTRIAN_BL,3. Round
2025-08-16,Grazer AK,WSG Tirol,1,1,D,0,1,A,2025-26,AUSTRIAN_BL,3. Round
2025-08-16,SV Ried,Sturm Graz,1,3,A,1,3,A,2025-26,AUSTRIAN_BL,3. Round
2025-08-17,LASK,Austria Wien,2,1,H,1,1,D,2025-26,AUSTRIAN_BL,3. Round
2025-08-17,Rapid Wien,SCR Altach,0,0,D,0,0,D,2025-26,AUSTRIAN_BL,3. Round
2025-08-17,Wolfsberger,FC Blau Weiß Linz,3,0,H,3,0,H,2025-26,AUSTRIAN_BL,3. Round
2025-08-23,RB Salzburg,LASK,3,0,H,2,0,H,2025-26,AUSTRIAN_BL,4. Round
2025-08-23,FC Blau Weiß Linz,SV Ried,0,2,A,0,0,D,2025-26,AUSTRIAN_BL,4. Round
2025-08-24,SCR Altach,Grazer AK,1,1,D,1,1,D,2025-26,AUSTRIAN_BL,4. Round
2025-08-24,Wolfsberger,Rapid Wien,1,2,A,0,2,A,2025-26,AUSTRIAN_BL,4. Round
2025-08-24,Austria Wien,TSV Hartberg,1,3,A,0,1,A,2025-26,AUSTRIAN_BL,4. Round
2025-08-30,RB Salzburg,FC Blau Weiß Linz,2,2,D,1,1,D,2025-26,AUSTRIAN_BL,5. Round
2025-08-30,LASK,SV Ried,1,3,A,0,2,A,2025-26,AUSTRIAN_BL,5. Round
2025-08-30,Grazer AK,Sturm Graz,0,3,A,0,1,A,2025-26,AUSTRIAN_BL,5. Round
2025-08-31,TSV Hartberg,Rapid Wien,0,1,A,0,0,D,2025-26,AUSTRIAN_BL,5. Round
2025-08-31,Austria Wien,SCR Altach,1,0,H,0,0,D,2025-26,AUSTRIAN_BL,5. Round
2025-08-31,WSG Tirol,Wolfsberger,1,1,D,1,1,D,2025-26,AUSTRIAN_BL,5. Round
2025-09-13,Wolfsberger,RB Salzburg,3,1,H,2,0,H,2025-26,AUSTRIAN_BL,6. Round
2025-09-13,FC Blau Weiß Linz,Grazer AK,3,0,H,2,0,H,2025-26,AUSTRIAN_BL,6. Round
2025-09-13,SCR Altach,LASK,1,0,H,1,0,H,2025-26,AUSTRIAN_BL,6. Round
2025-09-14,Rapid Wien,WSG Tirol,4,1,H,2,0,H,2025-26,AUSTRIAN_BL,6. Round
2025-09-14,SV Ried,TSV Hartberg,0,2,A,0,1,A,2025-26,AUSTRIAN_BL,6. Round
2025-09-14,Sturm Graz,Austria Wien,0,1,A,0,1,A,2025-26,AUSTRIAN_BL,6. Round
2025-09-20,RB Salzburg,Sturm Graz,0,2,A,0,1,A,2025-26,AUSTRIAN_BL,7. Round
2025-09-20,TSV Hartberg,Wolfsberger,2,2,D,1,2,A,2025-26,AUSTRIAN_BL,7. Round
2025-09-20,Austria Wien,SV Ried,3,2,H,0,2,A,2025-26,AUSTRIAN_BL,7. Round
2025-09-21,LASK,FC Blau Weiß Linz,2,0,H,0,0,D,2025-26,AUSTRIAN_BL,7. Round
2025-09-21,SCR Altach,WSG Tirol,1,1,D,0,1,A,2025-26,AUSTRIAN_BL,7. Round
2025-09-21,Grazer AK,Rapid Wien,1,1,D,0,1,A,2025-26,AUSTRIAN_BL,7. Round
2025-09-27,SV Ried,Grazer AK,0,0,D,0,0,D,2025-26,AUSTRIAN_BL,8. Round
2025-09-27,Wolfsberger,LASK,1,0,H,0,0,D,2025-26,AUSTRIAN_BL,8. Round
2025-09-27,FC Blau Weiß Linz,SCR Altach,1,0,H,1,0,H,2025-26,AUSTRIAN_BL,8. Round
2025-09-28,Sturm Graz,TSV Hartberg,1,0,H,0,0,D,2025-26,AUSTRIAN_BL,8. Round
2025-09-28,WSG Tirol,RB Salzburg,1,2,A,0,1,A,2025-26,AUSTRIAN_BL,8. Round
2025-09-28,Rapid Wien,Austria Wien,1,3,A,0,1,A,2025-26,AUSTRIAN_BL,8. Round
2025-10-04,SV Ried,WSG Tirol,2,0,H,1,0,H,2025-26,AUSTRIAN_BL,9. Round
2025-10-04,Austria Wien,FC Blau Weiß Linz,0,1,A,0,0,D,2025-26,AUSTRIAN_BL,9. Round
2025-10-04,Grazer AK,Wolfsberger,1,3,A,1,1,D,2025-26,AUSTRIAN_BL,9. Round
2025-10-05,LASK,TSV Hartberg,3,3,D,0,1,A,2025-26,AUSTRIAN_BL,9. Round
