Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-07-25,Royal Antwerp,Union Saint-Gilloise,1,1,D,1,0,H,2025-26,BELGIAN_PRO,1. Round
2025-07-26,FCV Dender EH,Cercle Brugge,0,0,D,0,0,D,2025-26,BELGIAN_PRO,1. Round
2025-07-26,SV Zulte Waregem,KV Mechelen,1,1,D,0,1,A,2025-26,BELGIAN_PRO,1. Round
2025-07-26,RAAL La Louviére,Standard Liège,0,2,A,0,2,A,2025-26,BELGIAN_PRO,1. Round
2025-07-27,RSC Anderlecht,KVC Westerlo,5,2,H,2,0,H,2025-26,BELGIAN_PRO,1. Round
2025-07-27,Oud-Heverlee Leuven,Sporting Charleroi,2,2,D,1,0,H,2025-26,BELGIAN_PRO,1. Round
2025-07-27,Club Brugge KV,KRC Genk,2,1,H,0,1,A,2025-26,BELGIAN_PRO,1. Round
2025-07-27,Sint-Truidense VV,KAA Gent,3,1,H,0,0,D,2025-26,BELGIAN_PRO,1. Round
2025-08-01,KV Mechelen,Club Brugge KV,2,1,H,1,0,H,2025-26,BELGIAN_PRO,2. Round
2025-08-02,KVC Westerlo,SV Zulte Waregem,3,1,H,2,1,H,2025-26,BELGIAN_PRO,2. Round
2025-08-02,Standard Liège,FCV Dender EH,1,1,D,0,0,D,2025-26,BELGIAN_PRO,2. Round
2025-08-02,KAA Gent,RAAL La Louviére,1,0,H,0,0,D,2025-26,BELGIAN_PRO,2. Round
2025-08-03,KRC Genk,Royal Antwerp,1,1,D,1,1,D,2025-26,BELGIAN_PRO,2. Round
2025-08-03,Cercle Brugge,RSC Anderlecht,0,2,A,0,1,A,2025-26,BELGIAN_PRO,2. Round
2025-08-03,Union Saint-Gilloise,Oud-Heverlee Leuven,5,0,H,2,0,H,2025-26,BELGIAN_PRO,2. Round
2025-08-03,Sporting Charleroi,Sint-Truidense VV,1,1,D,1,1,D,2025-26,BELGIAN_PRO,2. Round
2025-08-08,Sint-Truidense VV,FCV Dender EH,2,0,H,1,0,H,2025-26,BELGIAN_PRO,3. Round
2025-08-09,Club Brugge KV,Cercle Brugge,2,0,H,0,0,D,2025-26,BELGIAN_PRO,3. Round
2025-08-09,KVC Westerlo,KV Mechelen,0,1,A,0,0,D,2025-26,BELGIAN_PRO,3. Round
2025-08-09,KAA Gent,Union Saint-Gilloise,2,3,A,0,1,A,2025-26,BELGIAN_PRO,3. Round
2025-08-10,RAAL La Louviére,Sporting Charleroi,1,0,H,1,0,H,2025-26,BELGIAN_PRO,3. Round
2025-08-10,RSC Anderlecht,SV Zulte Waregem,2,3,A,0,1,A,2025-26,BELGIAN_PRO,3. Round
2025-08-10,Standard Liège,KRC Genk,2,1,H,1,0,H,2025-26,BELGIAN_PRO,3. Round
2025-08-10,Royal Antwerp,Oud-Heverlee Leuven,3,1,H,1,0,H,2025-26,BELGIAN_PRO,3. Round
2025-08-15,Oud-Heverlee Leuven,KRC Genk,1,2,A,1,2,A,2025-26,BELGIAN_PRO,4. Round
2025-08-16,SV Zulte Waregem,Club Brugge KV,0,1,A,0,0,D,2025-26,BELGIAN_PRO,4. Round
2025-08-16,KV Mechelen,KAA Gent,1,1,D,1,0,H,2025-26,BELGIAN_PRO,4. Round
2025-08-16,Union Saint-Gilloise,Standard Liège,3,0,H,1,0,H,2025-26,BELGIAN_PRO,4. Round
2025-08-17,FCV Dender EH,RSC Anderlecht,0,2,A,0,0,D,2025-26,BELGIAN_PRO,4. Round
2025-08-17,Sint-Truidense VV,RAAL La Louviére,2,1,H,1,0,H,2025-26,BELGIAN_PRO,4. Round
2025-08-17,Sporting Charleroi,Royal Antwerp,1,1,D,1,1,D,2025-26,BELGIAN_PRO,4. Round
2025-08-17,Cercle Brugge,KVC Westerlo,4,1,H,3,0,H,2025-26,BELGIAN_PRO,4. Round
2025-08-23,Standard Liège,Cercle Brugge,0,3,A,0,3,A,2025-26,BELGIAN_PRO,5. Round
2025-08-23,SV Zulte Waregem,Sint-Truidense VV,0,2,A,0,0,D,2025-26,BELGIAN_PRO,5. Round
2025-08-24,Royal Antwerp,KV Mechelen,2,1,H,1,1,D,2025-26,BELGIAN_PRO,5. Round
2025-08-24,RAAL La Louviére,Union Saint-Gilloise,0,0,D,0,0,D,2025-26,BELGIAN_PRO,5. Round
2025-08-24,FCV Dender EH,Oud-Heverlee Leuven,0,1,A,0,0,D,2025-26,BELGIAN_PRO,5. Round
2025-09-17,KRC Genk,Sporting Charleroi,0,1,A,0,1,A,2025-26,BELGIAN_PRO,5. Round
2025-09-23,RSC Anderlecht,KAA Gent,1,0,H,0,0,D,2025-26,BELGIAN_PRO,5. Round
2025-09-24,Club Brugge KV,KVC Westerlo,5,5,D,1,2,A,2025-26,BELGIAN_PRO,5. Round
2025-08-29,Cercle Brugge,Sint-Truidense VV,1,1,D,1,1,D,2025-26,BELGIAN_PRO,6. Round
2025-08-30,KV Mechelen,RAAL La Louviére,3,2,H,1,0,H,2025-26,BELGIAN_PRO,6. Round
2025-08-30,KVC Westerlo,Royal Antwerp,2,0,H,1,0,H,2025-26,BELGIAN_PRO,6. Round
2025-08-30,Sporting Charleroi,FCV Dender EH,3,1,H,1,0,H,2025-26,BELGIAN_PRO,6. Round
2025-08-31,KAA Gent,Club Brugge KV,1,1,D,0,0,D,2025-26,BELGIAN_PRO,6. Round
2025-08-31,Oud-Heverlee Leuven,Standard Liège,1,0,H,0,0,D,2025-26,BELGIAN_PRO,6. Round
2025-08-31,Union Saint-Gilloise,RSC Anderlecht,2,0,H,1,0,H,2025-26,BELGIAN_PRO,6. Round
2025-08-31,KRC Genk,SV Zulte Waregem,3,2,H,2,2,D,2025-26,BELGIAN_PRO,6. Round
2025-09-12,Standard Liège,KV Mechelen,1,1,D,0,0,D,2025-26,BELGIAN_PRO,7. Round
2025-09-13,SV Zulte Waregem,Oud-Heverlee Leuven,2,0,H,2,0,H,2025-26,BELGIAN_PRO,7. Round
2025-09-13,FCV Dender EH,Union Saint-Gilloise,0,1,A,0,0,D,2025-26,BELGIAN_PRO,7. Round
2025-09-13,RAAL La Louviére,Club Brugge KV,1,0,H,1,0,H,2025-26,BELGIAN_PRO,7. Round
2025-09-14,Royal Antwerp,KAA Gent,1,2,A,1,1,D,2025-26,BELGIAN_PRO,7. Round
2025-09-14,Cercle Brugge,Sporting Charleroi,2,3,A,0,2,A,2025-26,BELGIAN_PRO,7. Round
2025-09-14,RSC Anderlecht,KRC Genk,1,1,D,0,0,D,2025-26,BELGIAN_PRO,7. Round
2025-09-14,Sint-Truidense VV,KVC Westerlo,0,3,A,0,1,A,2025-26,BELGIAN_PRO,7. Round
2025-09-19,KAA Gent,FCV Dender EH,3,0,H,1,0,H,2025-26,BELGIAN_PRO,8. Round
2025-09-20,Oud-Heverlee Leuven,RAAL La Louviére,1,2,A,1,2,A,2025-26,BELGIAN_PRO,8. Round
2025-09-20,Sporting Charleroi,SV Zulte Waregem,1,2,A,1,0,H,2025-26,BELGIAN_PRO,8. Round
2025-09-20,RSC Anderlecht,Royal Antwerp,0,0,D,0,0,D,2025-26,BELGIAN_PRO,8. Round
2025-09-21,KRC Genk,Union Saint-Gilloise,1,2,A,0,1,A,2025-26,BELGIAN_PRO,8. Round
2025-09-21,KVC Westerlo,Standard Liège,0,2,A,0,2,A,2025-26,BELGIAN_PRO,8. Round
2025-09-21,Club Brugge KV,Sint-Truidense VV,2,0,H,1,0,H,2025-26,BELGIAN_PRO,8. Round
2025-09-21,KV Mechelen,Cercle Brugge,0,0,D,0,0,D,2025-26,BELGIAN_PRO,8. Round
2025-09-26,Oud-Heverlee Leuven,RSC Anderlecht,1,1,D,0,0,D,2025-26,BELGIAN_PRO,9. Round
2025-09-27,SV Zulte Waregem,Royal Antwerp,2,0,H,0,0,D,2025-26,BELGIAN_PRO,9. Round
2025-09-27,Standard Liège,Club Brugge KV,1,2,A,1,1,D,2025-26,BELGIAN_PRO,9. Round
2025-09-27,Union Saint-Gilloise,KVC Westerlo,2,0,H,0,0,D,2025-26,BELGIAN_PRO,9. Round
2025-09-28,Sint-Truidense VV,KRC Genk,1,2,A,1,0,H,2025-26,BELGIAN_PRO,9. Round
2025-09-28,Cercle Brugge,KAA Gent,2,4,A,2,2,D,2025-26,BELGIAN_PRO,9. Round
2025-09-28,Sporting Charleroi,KV Mechelen,0,2,A,0,2,A,2025-26,BELGIAN_PRO,9. Round
2025-09-28,FCV Dender EH,RAAL La Louviére,0,0,D,0,0,D,2025-26,BELGIAN_PRO,9. Round
2025-10-03,KAA Gent,Sporting Charleroi,2,1,H,1,1,D,2025-26,BELGIAN_PRO,10. Round
2025-10-04,KV Mechelen,Sint-Truidense VV,1,3,A,1,0,H,2025-26,BELGIAN_PRO,10. Round
2025-10-04,RAAL La Louviére,SV Zulte Waregem,0,0,D,0,0,D,2025-26,BELGIAN_PRO,10. Round
2025-10-04,Royal Antwerp,Cercle Brugge,1,1,D,1,1,D,2025-26,BELGIAN_PRO,10. Round
2025-10-05,RSC Anderlecht,Standard Liège,1,0,H,0,0,D,2025-26,BELGIAN_PRO,10. Round
2025-10-05,KRC Genk,FCV Dender EH,2,1,H,1,1,D,2025-26,BELGIAN_PRO,10. Round
2025-10-05,Club Brugge KV,Union Saint-Gilloise,1,0,H,0,0,D,2025-26,BELGIAN_PRO,10. Round
2025-10-05,KVC Westerlo,Oud-Heverlee Leuven,2,0,H,1,0,H,2025-26,BELGIAN_PRO,10. Round
2025-10-18,RAAL La Louviére,KVC Westerlo,0,0,D,0,0,D,2025-26,BELGIAN_PRO,11. Round
2025-10-18,Oud-Heverlee Leuven,Club Brugge KV,0,1,A,0,0,D,2025-26,BELGIAN_PRO,11. Round
2025-10-18,Union Saint-Gilloise,Sporting Charleroi,3,1,H,1,1,D,2025-26,BELGIAN_PRO,11. Round
2025-10-19,Cercle Brugge,KRC Genk,2,2,D,1,1,D,2025-26,BELGIAN_PRO,11. Round
2025-10-19,FCV Dender EH,KV Mechelen,1,3,A,0,1,A,2025-26,BELGIAN_PRO,11. Round
2025-10-19,Sint-Truidense VV,RSC Anderlecht,2,2,D,1,2,A,2025-26,BELGIAN_PRO,11. Round
2025-10-19,SV Zulte Waregem,KAA Gent,4,1,H,3,0,H,2025-26,BELGIAN_PRO,11. Round
2025-10-20,Standard Liège,Royal Antwerp,1,0,H,1,0,H,2025-26,BELGIAN_PRO,11. Round
2025-10-24,Sporting Charleroi,RSC Anderlecht,1,0,H,0,0,D,2025-26,BELGIAN_PRO,12. Round
2025-10-25,KVC Westerlo,FCV Dender EH,1,1,D,0,1,A,2025-26,BELGIAN_PRO,12. Round
2025-10-25,KV Mechelen,Oud-Heverlee Leuven,1,1,D,0,0,D,2025-26,BELGIAN_PRO,12. Round
2025-10-25,KAA Gent,Standard Liège,4,0,H,3,0,H,2025-26,BELGIAN_PRO,12. Round
2025-10-26,Royal Antwerp,Club Brugge KV,0,1,A,0,1,A,2025-26,BELGIAN_PRO,12. Round
2025-10-26,Cercle Brugge,SV Zulte Waregem,1,1,D,0,1,A,2025-26,BELGIAN_PRO,12. Round
2025-10-26,KRC Genk,RAAL La Louviére,1,1,D,1,1,D,2025-26,BELGIAN_PRO,12. Round
