Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-01,FC Schalke 04,Hertha BSC,2,1,H,2,0,H,2025-26,BUNDESLIGA_2,1. Round
2025-08-02,SV 07 Elversberg,1. FC Nürnberg,1,0,H,0,0,D,2025-26,BUNDESLIGA_2,1. Round
2025-08-02,SC Paderborn 07,Holstein Kiel,2,1,H,1,0,H,2025-26,BUNDESLIGA_2,1. Round
2025-08-02,Karlsruher,Preußen Münster,3,2,H,2,1,H,2025-26,BUNDESLIGA_2,1. Round
2025-08-02,SV Darmstadt 98,VfL Bochum,4,1,H,2,1,H,2025-26,BUNDESLIGA_2,1. Round
2025-08-02,Arminia Bielefeld,Fortuna Düsseldorf,5,1,H,1,1,D,2025-26,BUNDESLIGA_2,1. Round
2025-08-03,1. FC Magdeburg,Eintracht Braunschweig,0,1,A,0,0,D,2025-26,BUNDESLIGA_2,1. Round
2025-08-03,Hannover 96,1. FC Kaiserslautern,1,0,H,0,0,D,2025-26,BUNDESLIGA_2,1. Round
2025-08-03,SpVgg Greuther Fürth,Dynamo Dresden,3,2,H,2,1,H,2025-26,BUNDESLIGA_2,1. Round
2025-08-08,1. FC Nürnberg,SV Darmstadt 98,0,1,A,0,0,D,2025-26,BUNDESLIGA_2,2. Round
2025-08-08,Preußen Münster,SC Paderborn 07,1,1,D,0,1,A,2025-26,BUNDESLIGA_2,2. Round
2025-08-09,Fortuna Düsseldorf,Hannover 96,0,2,A,0,0,D,2025-26,BUNDESLIGA_2,2. Round
2025-08-09,Eintracht Braunschweig,SpVgg Greuther Fürth,3,2,H,2,1,H,2025-26,BUNDESLIGA_2,2. Round
2025-08-09,Dynamo Dresden,1. FC Magdeburg,1,2,A,1,2,A,2025-26,BUNDESLIGA_2,2. Round
2025-08-09,1. FC Kaiserslautern,FC Schalke 04,1,0,H,0,0,D,2025-26,BUNDESLIGA_2,2. Round
2025-08-10,Holstein Kiel,Arminia Bielefeld,0,2,A,0,2,A,2025-26,BUNDESLIGA_2,2. Round
2025-08-10,VfL Bochum,SV 07 Elversberg,2,0,H,0,0,D,2025-26,BUNDESLIGA_2,2. Round
2025-08-10,Hertha BSC,Karlsruher,0,0,D,0,0,D,2025-26,BUNDESLIGA_2,2. Round
2025-08-22,SV 07 Elversberg,1. FC Kaiserslautern,2,1,H,1,0,H,2025-26,BUNDESLIGA_2,3. Round
2025-08-22,Preußen Münster,1. FC Nürnberg,2,1,H,2,0,H,2025-26,BUNDESLIGA_2,3. Round
2025-08-23,SC Paderborn 07,Fortuna Düsseldorf,1,2,A,0,2,A,2025-26,BUNDESLIGA_2,3. Round
2025-08-23,Karlsruher,Eintracht Braunschweig,2,0,H,1,0,H,2025-26,BUNDESLIGA_2,3. Round
2025-08-23,Hannover 96,1. FC Magdeburg,3,1,H,2,0,H,2025-26,BUNDESLIGA_2,3. Round
2025-08-23,FC Schalke 04,VfL Bochum,2,1,H,0,0,D,2025-26,BUNDESLIGA_2,3. Round
2025-08-24,SV Darmstadt 98,Hertha BSC,0,0,D,0,0,D,2025-26,BUNDESLIGA_2,3. Round
2025-08-24,SpVgg Greuther Fürth,Holstein Kiel,0,2,A,0,1,A,2025-26,BUNDESLIGA_2,3. Round
2025-08-24,Arminia Bielefeld,Dynamo Dresden,1,2,A,0,1,A,2025-26,BUNDESLIGA_2,3. Round
2025-08-29,1. FC Nürnberg,SC Paderborn 07,0,0,D,0,0,D,2025-26,BUNDESLIGA_2,4. Round
2025-08-29,Hertha BSC,SV 07 Elversberg,0,2,A,0,1,A,2025-26,BUNDESLIGA_2,4. Round
2025-08-30,Holstein Kiel,Hannover 96,1,2,A,1,0,H,2025-26,BUNDESLIGA_2,4. Round
2025-08-30,VfL Bochum,Preußen Münster,1,2,A,1,1,D,2025-26,BUNDESLIGA_2,4. Round
2025-08-30,Eintracht Braunschweig,Arminia Bielefeld,1,1,D,0,0,D,2025-26,BUNDESLIGA_2,4. Round
2025-08-30,Fortuna Düsseldorf,Karlsruher,0,0,D,0,0,D,2025-26,BUNDESLIGA_2,4. Round
2025-08-31,1. FC Magdeburg,SpVgg Greuther Fürth,4,5,A,1,1,D,2025-26,BUNDESLIGA_2,4. Round
2025-08-31,1. FC Kaiserslautern,SV Darmstadt 98,3,1,H,0,0,D,2025-26,BUNDESLIGA_2,4. Round
2025-08-31,Dynamo Dresden,FC Schalke 04,0,1,A,0,0,D,2025-26,BUNDESLIGA_2,4. Round
2025-09-12,SC Paderborn 07,VfL Bochum,1,0,H,0,0,D,2025-26,BUNDESLIGA_2,5. Round
2025-09-12,Arminia Bielefeld,1. FC Magdeburg,2,0,H,0,0,D,2025-26,BUNDESLIGA_2,5. Round
2025-09-13,Karlsruher,1. FC Nürnberg,2,1,H,1,1,D,2025-26,BUNDESLIGA_2,5. Round
2025-09-13,SV Darmstadt 98,Eintracht Braunschweig,2,1,H,0,1,A,2025-26,BUNDESLIGA_2,5. Round
2025-09-13,FC Schalke 04,Holstein Kiel,0,1,A,0,1,A,2025-26,BUNDESLIGA_2,5. Round
2025-09-13,Hannover 96,Hertha BSC,0,3,A,0,0,D,2025-26,BUNDESLIGA_2,5. Round
2025-09-14,SV 07 Elversberg,Dynamo Dresden,2,2,D,1,2,A,2025-26,BUNDESLIGA_2,5. Round
2025-09-14,SpVgg Greuther Fürth,1. FC Kaiserslautern,0,3,A,0,1,A,2025-26,BUNDESLIGA_2,5. Round
2025-09-14,Preußen Münster,Fortuna Düsseldorf,1,2,A,1,0,H,2025-26,BUNDESLIGA_2,5. Round
2025-09-19,1. FC Kaiserslautern,Preußen Münster,4,1,H,3,0,H,2025-26,BUNDESLIGA_2,6. Round
2025-09-19,Arminia Bielefeld,SpVgg Greuther Fürth,1,3,A,0,1,A,2025-26,BUNDESLIGA_2,6. Round
2025-09-20,1. FC Magdeburg,FC Schalke 04,0,2,A,0,1,A,2025-26,BUNDESLIGA_2,6. Round
2025-09-20,Hertha BSC,SC Paderborn 07,0,2,A,0,1,A,2025-26,BUNDESLIGA_2,6. Round
2025-09-20,Eintracht Braunschweig,SV 07 Elversberg,1,4,A,1,2,A,2025-26,BUNDESLIGA_2,6. Round
2025-09-20,1. FC Nürnberg,VfL Bochum,2,1,H,0,0,D,2025-26,BUNDESLIGA_2,6. Round
2025-09-21,Holstein Kiel,Karlsruher,3,0,H,2,0,H,2025-26,BUNDESLIGA_2,6. Round
2025-09-21,Fortuna Düsseldorf,SV Darmstadt 98,0,3,A,0,0,D,2025-26,BUNDESLIGA_2,6. Round
2025-09-21,Dynamo Dresden,Hannover 96,2,2,D,2,2,D,2025-26,BUNDESLIGA_2,6. Round
2025-09-26,SV Darmstadt 98,Dynamo Dresden,2,0,H,1,0,H,2025-26,BUNDESLIGA_2,7. Round
2025-09-26,FC Schalke 04,SpVgg Greuther Fürth,1,0,H,0,0,D,2025-26,BUNDESLIGA_2,7. Round
2025-09-27,SV 07 Elversberg,Holstein Kiel,1,0,H,0,0,D,2025-26,BUNDESLIGA_2,7. Round
2025-09-27,SC Paderborn 07,1. FC Kaiserslautern,2,0,H,0,0,D,2025-26,BUNDESLIGA_2,7. Round
2025-09-27,Karlsruher,1. FC Magdeburg,1,0,H,0,0,D,2025-26,BUNDESLIGA_2,7. Round
