Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-08,Fortuna Sittard,Go Ahead Eagles,2,2,D,1,1,D,2025-26,EREDIVISIE,Matchday 1
2025-08-09,NEC,SBV Excelsior,5,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 1
2025-08-09,Feyenoord Rotterdam,NAC Breda,2,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 1
2025-08-09,SC Heerenveen,FC Volendam,1,1,D,1,0,H,2025-26,EREDIVISIE,Matchday 1
2025-08-09,PSV,Sparta Rotterdam,6,1,H,3,0,H,2025-26,EREDIVISIE,Matchday 1
2025-08-10,PEC Zwolle,FC Twente '65,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 1
2025-08-10,AFC Ajax,Telstar 1963,2,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 1
2025-08-10,AZ,FC Groningen,4,1,H,3,1,H,2025-26,EREDIVISIE,Matchday 1
2025-08-10,FC Utrecht,Heracles Almelo,4,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 1
2025-08-15,Telstar 1963,PEC Zwolle,0,2,A,0,1,A,2025-26,EREDIVISIE,Matchday 2
2025-08-16,SBV Excelsior,Feyenoord Rotterdam,1,2,A,1,2,A,2025-26,EREDIVISIE,Matchday 2
2025-08-16,Heracles Almelo,NEC,1,4,A,1,1,D,2025-26,EREDIVISIE,Matchday 2
2025-08-16,FC Groningen,SC Heerenveen,2,1,H,1,1,D,2025-26,EREDIVISIE,Matchday 2
2025-08-17,Go Ahead Eagles,AFC Ajax,2,2,D,2,2,D,2025-26,EREDIVISIE,Matchday 2
2025-08-17,Sparta Rotterdam,FC Utrecht,2,1,H,1,0,H,2025-26,EREDIVISIE,Matchday 2
2025-08-17,FC Twente '65,PSV,0,2,A,0,1,A,2025-26,EREDIVISIE,Matchday 2
2025-08-17,FC Volendam,AZ,2,2,D,1,1,D,2025-26,EREDIVISIE,Matchday 2
2025-08-17,NAC Breda,Fortuna Sittard,2,1,H,1,0,H,2025-26,EREDIVISIE,Matchday 2
2025-08-23,Go Ahead Eagles,Sparta Rotterdam,0,3,A,0,1,A,2025-26,EREDIVISIE,Matchday 3
2025-08-23,PSV,FC Groningen,4,2,H,1,1,D,2025-26,EREDIVISIE,Matchday 3
2025-08-23,Telstar 1963,FC Volendam,2,2,D,2,0,H,2025-26,EREDIVISIE,Matchday 3
2025-08-24,SC Heerenveen,FC Twente '65,1,2,A,0,1,A,2025-26,EREDIVISIE,Matchday 3
2025-08-24,FC Utrecht,SBV Excelsior,4,1,H,2,0,H,2025-26,EREDIVISIE,Matchday 3
2025-08-24,NEC,NAC Breda,3,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 3
2025-08-24,AFC Ajax,Heracles Almelo,2,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 3
2025-08-29,FC Groningen,Heracles Almelo,4,0,H,3,0,H,2025-26,EREDIVISIE,Matchday 4
2025-08-30,FC Volendam,AFC Ajax,1,1,D,1,0,H,2025-26,EREDIVISIE,Matchday 4
2025-08-30,SC Heerenveen,Go Ahead Eagles,2,2,D,1,1,D,2025-26,EREDIVISIE,Matchday 4
2025-08-30,PSV,Telstar 1963,0,2,A,0,1,A,2025-26,EREDIVISIE,Matchday 4
2025-08-30,SBV Excelsior,FC Twente '65,1,0,H,0,0,D,2025-26,EREDIVISIE,Matchday 4
2025-08-31,Fortuna Sittard,NEC,3,2,H,2,1,H,2025-26,EREDIVISIE,Matchday 4
2025-08-31,PEC Zwolle,FC Utrecht,0,2,A,0,2,A,2025-26,EREDIVISIE,Matchday 4
2025-08-31,Sparta Rotterdam,Feyenoord Rotterdam,0,4,A,0,1,A,2025-26,EREDIVISIE,Matchday 4
2025-08-31,NAC Breda,AZ,0,1,A,0,0,D,2025-26,EREDIVISIE,Matchday 4
2025-09-13,AFC Ajax,PEC Zwolle,3,1,H,2,0,H,2025-26,EREDIVISIE,Matchday 5
2025-09-13,NEC,PSV,3,5,A,1,3,A,2025-26,EREDIVISIE,Matchday 5
2025-09-13,Go Ahead Eagles,FC Volendam,3,0,H,3,0,H,2025-26,EREDIVISIE,Matchday 5
2025-09-13,Feyenoord Rotterdam,SC Heerenveen,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 5
2025-09-13,FC Twente '65,NAC Breda,2,2,D,0,1,A,2025-26,EREDIVISIE,Matchday 5
2025-09-14,SBV Excelsior,Sparta Rotterdam,0,1,A,0,0,D,2025-26,EREDIVISIE,Matchday 5
2025-09-14,FC Utrecht,FC Groningen,0,1,A,0,0,D,2025-26,EREDIVISIE,Matchday 5
2025-09-14,Heracles Almelo,AZ,1,2,A,1,1,D,2025-26,EREDIVISIE,Matchday 5
2025-09-14,Telstar 1963,Fortuna Sittard,1,3,A,1,1,D,2025-26,EREDIVISIE,Matchday 5
2025-09-17,Feyenoord Rotterdam,Fortuna Sittard,2,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 3
2025-09-19,Sparta Rotterdam,FC Twente '65,1,5,A,1,1,D,2025-26,EREDIVISIE,Matchday 6
2025-09-20,FC Volendam,SBV Excelsior,1,2,A,1,1,D,2025-26,EREDIVISIE,Matchday 6
2025-09-20,FC Groningen,Telstar 1963,2,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 6
2025-09-20,Fortuna Sittard,FC Utrecht,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 6
2025-09-20,NAC Breda,Heracles Almelo,2,1,H,0,1,A,2025-26,EREDIVISIE,Matchday 6
2025-09-21,PEC Zwolle,Go Ahead Eagles,0,2,A,0,0,D,2025-26,EREDIVISIE,Matchday 6
2025-09-21,PSV,AFC Ajax,2,2,D,1,1,D,2025-26,EREDIVISIE,Matchday 6
2025-09-21,SC Heerenveen,NEC,3,2,H,1,0,H,2025-26,EREDIVISIE,Matchday 6
2025-09-21,AZ,Feyenoord Rotterdam,3,3,D,1,1,D,2025-26,EREDIVISIE,Matchday 6
2025-09-24,AZ,PEC Zwolle,2,2,D,2,1,H,2025-26,EREDIVISIE,Matchday 3
2025-09-26,FC Twente '65,Fortuna Sittard,3,2,H,1,0,H,2025-26,EREDIVISIE,Matchday 7
2025-09-27,AFC Ajax,NAC Breda,2,1,H,1,1,D,2025-26,EREDIVISIE,Matchday 7
2025-09-27,FC Volendam,PEC Zwolle,2,1,H,1,1,D,2025-26,EREDIVISIE,Matchday 7
2025-09-27,SBV Excelsior,PSV,1,2,A,1,1,D,2025-26,EREDIVISIE,Matchday 7
2025-09-27,Heracles Almelo,Sparta Rotterdam,3,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 7
2025-09-28,NEC,AZ,2,1,H,1,0,H,2025-26,EREDIVISIE,Matchday 7
2025-09-28,FC Groningen,Feyenoord Rotterdam,0,1,A,0,0,D,2025-26,EREDIVISIE,Matchday 7
2025-09-28,FC Utrecht,SC Heerenveen,2,2,D,1,1,D,2025-26,EREDIVISIE,Matchday 7
2025-09-28,Telstar 1963,Go Ahead Eagles,4,2,H,2,1,H,2025-26,EREDIVISIE,Matchday 7
2025-10-03,NAC Breda,FC Groningen,1,2,A,0,1,A,2025-26,EREDIVISIE,Matchday 8
2025-10-04,Sparta Rotterdam,AFC Ajax,3,3,D,1,1,D,2025-26,EREDIVISIE,Matchday 8
2025-10-04,Fortuna Sittard,FC Volendam,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 8
2025-10-04,PEC Zwolle,PSV,0,4,A,0,2,A,2025-26,EREDIVISIE,Matchday 8
2025-10-04,SC Heerenveen,SBV Excelsior,2,1,H,0,1,A,2025-26,EREDIVISIE,Matchday 8
2025-10-05,FC Twente '65,Heracles Almelo,2,1,H,0,1,A,2025-26,EREDIVISIE,Matchday 8
2025-10-05,Feyenoord Rotterdam,FC Utrecht,3,2,H,1,0,H,2025-26,EREDIVISIE,Matchday 8
2025-10-05,AZ,Telstar 1963,2,1,H,2,0,H,2025-26,EREDIVISIE,Matchday 8
2025-10-05,Go Ahead Eagles,NEC,1,1,D,0,1,A,2025-26,EREDIVISIE,Matchday 8
2025-10-18,NEC,FC Twente '65,3,3,D,1,1,D,2025-26,EREDIVISIE,Matchday 9
2025-10-18,FC Utrecht,FC Volendam,3,1,H,0,1,A,2025-26,EREDIVISIE,Matchday 9
2025-10-18,PSV,Go Ahead Eagles,2,1,H,1,0,H,2025-26,EREDIVISIE,Matchday 9
2025-10-18,AFC Ajax,AZ,0,2,A,0,2,A,2025-26,EREDIVISIE,Matchday 9
2025-10-18,NAC Breda,PEC Zwolle,2,2,D,2,1,H,2025-26,EREDIVISIE,Matchday 9
2025-10-19,Telstar 1963,SC Heerenveen,2,3,A,1,2,A,2025-26,EREDIVISIE,Matchday 9
2025-10-19,FC Groningen,Sparta Rotterdam,0,2,A,0,1,A,2025-26,EREDIVISIE,Matchday 9
2025-10-19,SBV Excelsior,Fortuna Sittard,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 9
2025-10-19,Heracles Almelo,Feyenoord Rotterdam,0,7,A,0,4,A,2025-26,EREDIVISIE,Matchday 9
2025-10-24,SC Heerenveen,NAC Breda,3,3,D,1,0,H,2025-26,EREDIVISIE,Matchday 10
2025-10-25,Fortuna Sittard,FC Groningen,1,2,A,0,1,A,2025-26,EREDIVISIE,Matchday 10
2025-10-25,Sparta Rotterdam,Telstar 1963,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 10
2025-10-25,FC Volendam,Heracles Almelo,3,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 10
2025-10-25,PEC Zwolle,NEC,2,2,D,1,1,D,2025-26,EREDIVISIE,Matchday 10
2025-10-26,FC Twente '65,AFC Ajax,2,3,A,1,0,H,2025-26,EREDIVISIE,Matchday 10
2025-10-26,Feyenoord Rotterdam,PSV,2,3,A,0,1,A,2025-26,EREDIVISIE,Matchday 10
2025-10-26,AZ,FC Utrecht,4,1,H,2,0,H,2025-26,EREDIVISIE,Matchday 10
2025-10-26,Go Ahead Eagles,SBV Excelsior,2,0,H,0,0,D,2025-26,EREDIVISIE,Matchday 10
2025-10-31,PSV,Fortuna Sittard,5,2,H,3,0,H,2025-26,EREDIVISIE,Matchday 11
2025-11-01,AFC Ajax,SC Heerenveen,1,1,D,1,0,H,2025-26,EREDIVISIE,Matchday 11
2025-11-01,NAC Breda,Go Ahead Eagles,1,0,H,0,0,D,2025-26,EREDIVISIE,Matchday 11
2025-11-01,Feyenoord Rotterdam,FC Volendam,3,1,H,2,0,H,2025-26,EREDIVISIE,Matchday 11
2025-11-01,Telstar 1963,SBV Excelsior,2,2,D,2,1,H,2025-26,EREDIVISIE,Matchday 11
2025-11-02,Heracles Almelo,PEC Zwolle,8,2,H,4,1,H,2025-26,EREDIVISIE,Matchday 11
2025-11-02,FC Groningen,FC Twente '65,1,1,D,0,0,D,2025-26,EREDIVISIE,Matchday 11
2025-11-02,Sparta Rotterdam,AZ,0,1,A,0,0,D,2025-26,EREDIVISIE,Matchday 11
2025-11-02,FC Utrecht,NEC,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 11
2025-11-07,FC Twente '65,Telstar 1963,0,0,D,0,0,D,2025-26,EREDIVISIE,Matchday 12
2025-11-08,SBV Excelsior,Heracles Almelo,1,2,A,1,0,H,2025-26,EREDIVISIE,Matchday 12
2025-11-08,FC Volendam,NAC Breda,2,1,H,0,1,A,2025-26,EREDIVISIE,Matchday 12
2025-11-08,Fortuna Sittard,SC Heerenveen,2,0,H,0,0,D,2025-26,EREDIVISIE,Matchday 12
2025-11-08,PEC Zwolle,Sparta Rotterdam,1,0,H,1,0,H,2025-26,EREDIVISIE,Matchday 12
2025-11-09,FC Utrecht,AFC Ajax,2,1,H,1,0,H,2025-26,EREDIVISIE,Matchday 12
2025-11-09,NEC,FC Groningen,2,0,H,0,0,D,2025-26,EREDIVISIE,Matchday 12
2025-11-09,AZ,PSV,1,5,A,1,3,A,2025-26,EREDIVISIE,Matchday 12
2025-11-09,Go Ahead Eagles,Feyenoord Rotterdam,2,1,H,1,0,H,2025-26,EREDIVISIE,Matchday 12
2024-08-09,FC Groningen,NAC Breda,4,1,H,3,0,H,2024-25,EREDIVISIE,Matchday 1
2024-08-10,Feyenoord Rotterdam,Willem II Tilburg,1,1,D,1,0,H,2024-25,EREDIVISIE,Matchday 1
2024-08-10,NEC,FC Twente '65,1,2,A,1,1,D,2024-25,EREDIVISIE,Matchday 1
2024-08-10,Almere City,AZ,0,1,A,0,1,A,2024-25,EREDIVISIE,Matchday 1
2024-08-10,PSV,RKC Waalwijk,5,1,H,3,0,H,2024-25,EREDIVISIE,Matchday 1
2024-08-11,Sparta Rotterdam,Heracles Almelo,0,0,D,0,0,D,2024-25,EREDIVISIE,Matchday 1
2024-08-11,FC Utrecht,PEC Zwolle,1,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 1
2024-08-11,Go Ahead Eagles,Fortuna Sittard,0,2,A,0,0,D,2024-25,EREDIVISIE,Matchday 1
2024-08-11,AFC Ajax,SC Heerenveen,1,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 1
2024-08-16,Fortuna Sittard,Almere City,3,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 2
2024-08-17,SC Heerenveen,FC Utrecht,1,1,D,0,1,A,2024-25,EREDIVISIE,Matchday 2
2024-08-17,FC Twente '65,Sparta Rotterdam,1,1,D,0,0,D,2024-25,EREDIVISIE,Matchday 2
2024-08-17,AZ,NEC,1,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 2
2024-08-17,RKC Waalwijk,FC Groningen,1,2,A,0,1,A,2024-25,EREDIVISIE,Matchday 2
2024-08-18,Heracles Almelo,PSV,1,3,A,1,0,H,2024-25,EREDIVISIE,Matchday 2
2024-08-18,PEC Zwolle,Feyenoord Rotterdam,1,5,A,0,1,A,2024-25,EREDIVISIE,Matchday 2
2024-08-18,Willem II Tilburg,Go Ahead Eagles,2,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 2
2024-08-18,NAC Breda,AFC Ajax,2,1,H,0,0,D,2024-25,EREDIVISIE,Matchday 2
2024-08-24,NEC,PEC Zwolle,1,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 3
2024-08-24,Almere City,PSV,1,7,A,0,2,A,2024-25,EREDIVISIE,Matchday 3
2024-08-24,NAC Breda,FC Utrecht,1,2,A,1,0,H,2024-25,EREDIVISIE,Matchday 3
2024-08-25,FC Groningen,AZ,0,0,D,0,0,D,2024-25,EREDIVISIE,Matchday 3
2024-08-25,Heracles Almelo,Willem II Tilburg,1,1,D,1,1,D,2024-25,EREDIVISIE,Matchday 3
2024-08-25,Sparta Rotterdam,Feyenoord Rotterdam,1,1,D,1,0,H,2024-25,EREDIVISIE,Matchday 3
2024-08-25,Go Ahead Eagles,RKC Waalwijk,2,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 3
2024-08-30,RKC Waalwijk,AZ,0,3,A,0,2,A,2024-25,EREDIVISIE,Matchday 4
2024-08-31,Almere City,FC Groningen,1,1,D,1,0,H,2024-25,EREDIVISIE,Matchday 4
2024-08-31,Fortuna Sittard,NEC,0,3,A,0,2,A,2024-25,EREDIVISIE,Matchday 4
2024-08-31,SC Heerenveen,NAC Breda,4,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 4
2024-08-31,Willem II Tilburg,Sparta Rotterdam,1,2,A,0,0,D,2024-25,EREDIVISIE,Matchday 4
2024-09-01,FC Utrecht,FC Twente '65,2,1,H,1,1,D,2024-25,EREDIVISIE,Matchday 4
2024-09-01,PEC Zwolle,Heracles Almelo,3,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 4
2024-09-01,PSV,Go Ahead Eagles,3,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 4
2024-09-14,FC Twente '65,PEC Zwolle,1,1,D,0,1,A,2024-25,EREDIVISIE,Matchday 5
2024-09-14,PSV,NEC,2,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 5
2024-09-14,FC Groningen,Feyenoord Rotterdam,2,2,D,0,1,A,2024-25,EREDIVISIE,Matchday 5
2024-09-14,NAC Breda,Fortuna Sittard,1,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 5
2024-09-14,AZ,SC Heerenveen,9,1,H,2,1,H,2024-25,EREDIVISIE,Matchday 5
2024-09-15,Sparta Rotterdam,Go Ahead Eagles,1,2,A,0,1,A,2024-25,EREDIVISIE,Matchday 5
2024-09-15,Willem II Tilburg,RKC Waalwijk,3,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 5
2024-09-15,Heracles Almelo,Almere City,0,0,D,0,0,D,2024-25,EREDIVISIE,Matchday 5
2024-09-17,FC Twente '65,SC Heerenveen,2,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 3
2024-09-18,AFC Ajax,Fortuna Sittard,5,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 3
2024-09-20,PEC Zwolle,AZ,1,2,A,0,1,A,2024-25,EREDIVISIE,Matchday 6
2024-09-21,FC Utrecht,Willem II Tilburg,3,2,H,2,2,D,2024-25,EREDIVISIE,Matchday 6
2024-09-21,RKC Waalwijk,Sparta Rotterdam,1,2,A,0,1,A,2024-25,EREDIVISIE,Matchday 6
2024-09-21,Go Ahead Eagles,AFC Ajax,1,1,D,0,0,D,2024-25,EREDIVISIE,Matchday 6
2024-09-21,NEC,Heracles Almelo,1,2,A,1,2,A,2024-25,EREDIVISIE,Matchday 6
2024-09-22,SC Heerenveen,FC Groningen,2,1,H,1,1,D,2024-25,EREDIVISIE,Matchday 6
2024-09-22,Almere City,FC Twente '65,0,5,A,0,2,A,2024-25,EREDIVISIE,Matchday 6
2024-09-22,Feyenoord Rotterdam,NAC Breda,2,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 6
2024-09-22,Fortuna Sittard,PSV,1,3,A,1,1,D,2024-25,EREDIVISIE,Matchday 6
2024-09-27,Heracles Almelo,SC Heerenveen,2,1,H,1,0,H,2024-25,EREDIVISIE,Matchday 7
2024-09-28,Willem II Tilburg,PSV,0,2,A,0,0,D,2024-25,EREDIVISIE,Matchday 7
2024-09-28,NEC,Feyenoord Rotterdam,1,1,D,1,0,H,2024-25,EREDIVISIE,Matchday 7
2024-09-28,Sparta Rotterdam,Fortuna Sittard,1,1,D,1,1,D,2024-25,EREDIVISIE,Matchday 7
2024-09-29,PEC Zwolle,Almere City,1,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 7
2024-09-29,FC Twente '65,NAC Breda,1,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 7
2024-09-29,FC Groningen,Go Ahead Eagles,0,1,A,0,0,D,2024-25,EREDIVISIE,Matchday 7
