Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2021-02-28,Aston Villa,Arsenal WFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-28,Arsenal WFC,West Ham United LFC,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-06,Aston Villa,Tottenham Hotspur Women,1,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-28,Brighton & Hove Albion WFC,Everton LFC,0,5,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-28,Chelsea FCW,Aston Villa,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-02,Reading WFC,Brighton & Hove Albion WFC,3,2,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-02,Aston Villa,West Ham United LFC,0,0,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-25,Manchester United,Tottenham Hotspur Women,4,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-08,Birmingham City WFC,West Ham United LFC,1,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-06,Arsenal WFC,Birmingham City WFC,3,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-11,Reading WFC,Birmingham City WFC,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-14,Aston Villa,Birmingham City WFC,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-18,Bristol City WFC,Birmingham City WFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-11,Birmingham City WFC,Everton LFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-28,Birmingham City WFC,Bristol City WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-17,West Ham United LFC,Birmingham City WFC,2,2,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-13,Birmingham City WFC,Manchester United,2,5,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-24,Manchester United,Birmingham City WFC,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-09,Arsenal WFC,Aston Villa,0,0,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-14,Manchester United,Manchester City WFC,2,2,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-06,Bristol City WFC,Everton LFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-06,Arsenal WFC,Reading WFC,6,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-09,Brighton & Hove Albion WFC,Bristol City WFC,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-09,Chelsea FCW,Reading WFC,5,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-04,West Ham United LFC,Reading WFC,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-11,Everton LFC,West Ham United LFC,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-06,Manchester United,Chelsea FCW,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-20,Arsenal WFC,Everton LFC,4,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-10,Reading WFC,Chelsea FCW,0,5,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-17,Chelsea FCW,Manchester United,2,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-07,Brighton & Hove Albion WFC,Tottenham Hotspur Women,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-08,Bristol City WFC,Reading WFC,3,2,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-06,Tottenham Hotspur Women,West Ham United LFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-13,Manchester City WFC,Brighton & Hove Albion WFC,0,0,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-13,Chelsea FCW,Bristol City WFC,9,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-13,Everton LFC,Tottenham Hotspur Women,1,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-13,Reading WFC,Aston Villa,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-06,Brighton & Hove Albion WFC,Birmingham City WFC,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-05,Aston Villa,Manchester City WFC,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-11,Brighton & Hove Albion WFC,Arsenal WFC,0,5,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-08,Manchester United,Arsenal WFC,1,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-24,Aston Villa,Bristol City WFC,2,2,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-17,Everton LFC,Chelsea FCW,0,3,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-04,Manchester City WFC,Tottenham Hotspur Women,4,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-08,Brighton & Hove Albion WFC,Aston Villa,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-03,Aston Villa,Everton LFC,0,6,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-04,Manchester United,Brighton & Hove Albion WFC,3,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-18,West Ham United LFC,Manchester United,2,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-18,Everton LFC,Brighton & Hove Albion WFC,2,2,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-13,Reading WFC,Manchester United,1,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-28,Tottenham Hotspur Women,Everton LFC,2,3,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-25,Arsenal WFC,Brighton & Hove Albion WFC,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-27,Manchester City WFC,Reading WFC,1,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-04,Bristol City WFC,Arsenal WFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-10,Chelsea FCW,Arsenal WFC,3,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-28,Birmingham City WFC,Aston Villa,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-09,Manchester United,Everton LFC,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-05,Tottenham Hotspur Women,Chelsea FCW,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-09,Birmingham City WFC,Tottenham Hotspur Women,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-04,Birmingham City WFC,Chelsea FCW,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-02,Everton LFC,Arsenal WFC,1,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-07,Manchester United,Aston Villa,3,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-06,Tottenham Hotspur Women,Brighton & Hove Albion WFC,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-18,Arsenal WFC,Tottenham Hotspur Women,6,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-07,Tottenham Hotspur Women,Reading WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-13,Brighton & Hove Albion WFC,Chelsea FCW,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-07,West Ham United LFC,Chelsea FCW,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-07,Everton LFC,Birmingham City WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-23,Aston Villa,Reading WFC,2,2,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-17,Reading WFC,Arsenal WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-14,Reading WFC,Everton LFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-17,Bristol City WFC,Manchester City WFC,0,3,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-21,Manchester City WFC,Chelsea FCW,2,2,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-02,Manchester City WFC,Birmingham City WFC,4,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-09,West Ham United LFC,Manchester City WFC,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-19,Arsenal WFC,Manchester United,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-11,Chelsea FCW,Manchester City WFC,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-27,Manchester United,West Ham United LFC,2,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-25,Birmingham City WFC,Reading WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-15,Arsenal WFC,Chelsea FCW,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-10,Tottenham Hotspur Women,Manchester United,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-09,Bristol City WFC,Aston Villa,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-14,Bristol City WFC,Tottenham Hotspur Women,2,2,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-06,Reading WFC,Bristol City WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-13,Tottenham Hotspur Women,Aston Villa,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-20,Manchester United,Bristol City WFC,6,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-13,Bristol City WFC,West Ham United LFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-06,Everton LFC,Manchester City WFC,0,3,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-24,Brighton & Hove Albion WFC,Manchester City WFC,1,7,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-20,Brighton & Hove Albion WFC,Reading WFC,1,3,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-07,Arsenal WFC,Manchester City WFC,1,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-31,Chelsea FCW,Tottenham Hotspur Women,4,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-17,Manchester City WFC,Aston Villa,7,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-14,Bristol City WFC,Chelsea FCW,0,5,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-10,Brighton & Hove Albion WFC,West Ham United LFC,1,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-07,Manchester City WFC,Bristol City WFC,8,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-27,Tottenham Hotspur Women,Arsenal WFC,0,3,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-14,Reading WFC,Tottenham Hotspur Women,0,0,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-05-02,Bristol City WFC,Manchester United,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-07,Birmingham City WFC,Arsenal WFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-31,Manchester City WFC,West Ham United LFC,4,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-25,West Ham United LFC,Everton LFC,0,0,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-06,Chelsea FCW,West Ham United LFC,3,2,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-17,Birmingham City WFC,Brighton & Hove Albion WFC,0,0,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-18,Reading WFC,Manchester City WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-10-04,Arsenal WFC,Bristol City WFC,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-03,Reading WFC,West Ham United LFC,0,5,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-08,Chelsea FCW,Everton LFC,4,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-07,Manchester City WFC,Everton LFC,1,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-17,Aston Villa,Brighton & Hove Albion WFC,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-27,Aston Villa,Chelsea FCW,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-07,West Ham United LFC,Bristol City WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-07,Manchester United,Reading WFC,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-12,Manchester City WFC,Manchester United,3,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-15,West Ham United LFC,Brighton & Hove Albion WFC,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-05,Aston Villa,Manchester United,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-03-21,Tottenham Hotspur Women,Bristol City WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-28,Birmingham City WFC,Manchester City WFC,0,4,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-31,Everton LFC,Manchester United,0,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-30,Bristol City WFC,Brighton & Hove Albion WFC,3,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-04,Tottenham Hotspur Women,Manchester City WFC,0,3,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-04,Everton LFC,Aston Villa,3,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-04,Brighton & Hove Albion WFC,Manchester United,1,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-04,Chelsea FCW,Birmingham City WFC,6,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2020-12-13,Manchester City WFC,Arsenal WFC,2,1,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-17,Everton LFC,Bristol City WFC,4,0,H,FA Women's Super League,2020/2021,FA Women's Super League
2021-01-17,West Ham United LFC,Tottenham Hotspur Women,0,1,A,FA Women's Super League,2020/2021,FA Women's Super League
2021-04-20,West Ham United LFC,Aston Villa,0,0,D,FA Women's Super League,2020/2021,FA Women's Super League
2020-11-14,Everton LFC,Reading WFC,1,1,D,FA Women's Super League,2020/2021,FA Women's Super League
2021-02-07,Chelsea FCW,Brighton & Hove Albion WFC,1,2,A,FA Women's Super League,2020/2021,FA Women's Super League
2020-09-12,West Ham United LFC,Arsenal WFC,1,9,A,FA Women's Super League,2020/2021,FA Women's Super League
2019-10-13,Reading WFC,Everton LFC,3,2,H,FA Women's Super League,2019/2020,FA Women's Super League
2019-09-07,Manchester City WFC,Manchester United,1,0,H,FA Women's Super League,2019/2020,FA Women's Super League
2019-11-17,Chelsea FCW,Manchester United,1,0,H,FA Women's Super League,2019/2020,FA Women's Super League
2019-12-01,West Ham United LFC,Manchester United,3,2,H,FA Women's Super League,2019/2020,FA Women's Super League
2019-12-08,Manchester United,Everton LFC,3,1,H,FA Women's Super League,2019/2020,FA Women's Super League
2020-01-05,Manchester United,Bristol City WFC,0,1,A,FA Women's Super League,2019/2020,FA Women's Super League
2020-01-19,Manchester United,Tottenham Hotspur Women,3,0,H,FA Women's Super League,2019/2020,FA Women's Super League
2020-02-02,Reading WFC,Manchester United,1,1,D,FA Women's Super League,2019/2020,FA Women's Super League
2020-02-12,Brighton & Hove Albion WFC,Manchester United,1,1,D,FA Women's Super League,2019/2020,FA Women's Super League
2020-02-23,Everton LFC,Manchester United,2,3,A,FA Women's Super League,2019/2020,FA Women's Super League
2019-12-08,Bristol City WFC,Birmingham City WFC,0,2,A,FA Women's Super League,2019/2020,FA Women's Super League
2019-10-27,Birmingham City WFC,Liverpool WFC,2,0,H,FA Women's Super League,2019/2020,FA Women's Super League
2019-10-27,Arsenal WFC,Manchester City WFC,1,0,H,FA Women's Super League,2019/2020,FA Women's Super League
2020-02-23,Manchester City WFC,Chelsea FCW,3,3,D,FA Women's Super League,2019/2020,FA Women's Super League
2019-10-13,Chelsea FCW,Arsenal WFC,2,1,H,FA Women's Super League,2019/2020,FA Women's Super League
2020-01-05,Brighton & Hove Albion WFC,Liverpool WFC,1,0,H,FA Women's Super League,2019/2020,FA Women's Super League
2020-01-05,Chelsea FCW,Reading WFC,3,1,H,FA Women's Super League,2019/2020,FA Women's Super League
2020-01-05,Tottenham Hotspur Women,Manchester City WFC,1,4,A,FA Women's Super League,2019/2020,FA Women's Super League
2020-01-19,West Ham United LFC,Brighton & Hove Albion WFC,2,1,H,FA Women's Super League,2019/2020,FA Women's Super League
