Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2022-03-20,Hyderabad,Kerala Blasters,1,1,D,Indian Super league,2021/2022,Indian Super league
2022-03-15,Kerala Blasters,Jamshedpur,1,1,D,Indian Super league,2021/2022,Indian Super league
2022-03-16,ATK Mohun Bagan,Hyderabad,1,0,H,Indian Super league,2021/2022,Indian Super league
2022-03-12,Hyderabad,ATK Mohun Bagan,3,1,H,Indian Super league,2021/2022,Indian Super league
2022-03-11,Jamshedpur,Kerala Blasters,0,1,A,Indian Super league,2021/2022,Indian Super league
2022-03-07,ATK Mohun Bagan,Jamshedpur,0,1,A,Indian Super league,2021/2022,Indian Super league
2022-03-05,East Bengal,Bengaluru,0,1,A,Indian Super league,2021/2022,Indian Super league
2022-03-06,Goa,Kerala Blasters,4,4,D,Indian Super league,2021/2022,Indian Super league
2022-03-04,Jamshedpur,Odisha,5,1,H,Indian Super league,2021/2022,Indian Super league
2022-03-02,Kerala Blasters,Mumbai City,3,1,H,Indian Super league,2021/2022,Indian Super league
2022-03-03,Chennaiyin,ATK Mohun Bagan,0,1,A,Indian Super league,2021/2022,Indian Super league
2022-03-05,Hyderabad,Mumbai City,2,1,H,Indian Super league,2021/2022,Indian Super league
2022-02-21,Bengaluru,Odisha,2,1,H,Indian Super league,2021/2022,Indian Super league
2022-02-20,Chennaiyin,Jamshedpur,1,4,A,Indian Super league,2021/2022,Indian Super league
2022-02-19,Kerala Blasters,ATK Mohun Bagan,2,2,D,Indian Super league,2021/2022,Indian Super league
2022-02-19,Hyderabad,Goa,3,2,H,Indian Super league,2021/2022,Indian Super league
2022-02-18,NorthEast United,Bengaluru,2,1,H,Indian Super league,2021/2022,Indian Super league
2022-02-17,Jamshedpur,Mumbai City,3,2,H,Indian Super league,2021/2022,Indian Super league
2022-02-16,Odisha,Chennaiyin,2,2,D,Indian Super league,2021/2022,Indian Super league
2022-02-14,Kerala Blasters,East Bengal,1,0,H,Indian Super league,2021/2022,Indian Super league
2022-02-13,Mumbai City,Odisha,4,1,H,Indian Super league,2021/2022,Indian Super league
2022-02-12,ATK Mohun Bagan,NorthEast United,3,1,H,Indian Super league,2021/2022,Indian Super league
2022-02-11,Bengaluru,Hyderabad,1,2,A,Indian Super league,2021/2022,Indian Super league
2022-02-10,Jamshedpur,Kerala Blasters,3,0,H,Indian Super league,2021/2022,Indian Super league
2022-02-09,Chennaiyin,Goa,0,5,A,Indian Super league,2021/2022,Indian Super league
2022-02-08,Hyderabad,ATK Mohun Bagan,1,2,A,Indian Super league,2021/2022,Indian Super league
2022-02-07,East Bengal,Odisha,1,2,A,Indian Super league,2021/2022,Indian Super league
2022-02-06,Chennaiyin,Mumbai City,0,1,A,Indian Super league,2021/2022,Indian Super league
2022-02-05,Bengaluru,Jamshedpur,3,1,H,Indian Super league,2021/2022,Indian Super league
2022-02-04,Kerala Blasters,NorthEast United,2,1,H,Indian Super league,2021/2022,Indian Super league
2022-02-03,Mumbai City,ATK Mohun Bagan,1,1,D,Indian Super league,2021/2022,Indian Super league
2022-02-02,East Bengal,Chennaiyin,2,2,D,Indian Super league,2021/2022,Indian Super league
2022-02-01,Goa,Odisha,1,1,D,Indian Super league,2021/2022,Indian Super league
2022-01-31,NorthEast United,Hyderabad,0,5,A,Indian Super league,2021/2022,Indian Super league
2022-01-30,Kerala Blasters,Bengaluru,0,1,A,Indian Super league,2021/2022,Indian Super league
2022-01-29,ATK Mohun Bagan,East Bengal,3,1,H,Indian Super league,2021/2022,Indian Super league
2022-01-28,Jamshedpur,Goa,1,0,H,Indian Super league,2021/2022,Indian Super league
2022-01-26,Bengaluru,Chennaiyin,3,0,H,Indian Super league,2021/2022,Indian Super league
2022-01-25,Mumbai City,NorthEast United,1,1,D,Indian Super league,2021/2022,Indian Super league
2022-01-23,ATK Mohun Bagan,Odisha,0,0,D,Indian Super league,2021/2022,Indian Super league
