Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2024-08-15,Granada,Albacete,1,2,A,1,2,A,2024-25,LA_LIGA_2,Matchday 1
2024-08-16,CD Mirandés,Córdoba,1,0,H,1,0,H,2024-25,LA_LIGA_2,Matchday 1
2024-08-16,Cádiz,Real Zaragoza,0,4,A,0,2,A,2024-25,LA_LIGA_2,Matchday 1
2024-08-17,Racing Ferrol,Málaga,2,2,D,0,1,A,2024-25,LA_LIGA_2,Matchday 1
2024-08-17,SD Eibar,CD Castellón,1,0,H,1,0,H,2024-25,LA_LIGA_2,Matchday 1
2024-08-17,Deportivo La Coruña,Real Oviedo,0,1,A,0,1,A,2024-25,LA_LIGA_2,Matchday 1
2024-08-18,Racing Santander,UD Almería,2,2,D,2,0,H,2024-25,LA_LIGA_2,Matchday 1
2024-08-18,Sporting Gijón,Levante UD,1,2,A,0,2,A,2024-25,LA_LIGA_2,Matchday 1
2024-08-18,Burgos,FC Cartagena,3,1,H,2,1,H,2024-25,LA_LIGA_2,Matchday 1
2024-08-18,Elche,SD Huesca,0,1,A,0,0,D,2024-25,LA_LIGA_2,Matchday 1
2024-08-19,CD Eldense,CD Tenerife,2,1,H,0,0,D,2024-25,LA_LIGA_2,Matchday 1
2024-08-23,Racing Santander,SD Eibar,2,2,D,0,1,A,2024-25,LA_LIGA_2,Matchday 2
2024-08-23,SD Huesca,Deportivo La Coruña,2,1,H,1,0,H,2024-25,LA_LIGA_2,Matchday 2
2024-08-24,Racing Ferrol,Granada,0,1,A,0,0,D,2024-25,LA_LIGA_2,Matchday 2
2024-08-24,Sporting Gijón,CD Eldense,0,0,D,0,0,D,2024-25,LA_LIGA_2,Matchday 2
2024-08-24,Levante UD,Cádiz,1,1,D,0,0,D,2024-25,LA_LIGA_2,Matchday 2
2024-08-24,Málaga,CD Mirandés,1,1,D,0,1,A,2024-25,LA_LIGA_2,Matchday 2
2024-08-24,CD Tenerife,UD Almería,0,1,A,0,0,D,2024-25,LA_LIGA_2,Matchday 2
2024-08-25,Albacete,Elche,1,0,H,0,0,D,2024-25,LA_LIGA_2,Matchday 2
2024-08-25,CD Castellón,Real Oviedo,0,0,D,0,0,D,2024-25,LA_LIGA_2,Matchday 2
2024-08-26,FC Cartagena,Real Zaragoza,1,2,A,1,0,H,2024-25,LA_LIGA_2,Matchday 2
2024-08-26,Córdoba,Burgos,2,2,D,0,0,D,2024-25,LA_LIGA_2,Matchday 2
2024-08-30,Granada,SD Huesca,1,3,A,0,1,A,2024-25,LA_LIGA_2,Matchday 3
2024-08-30,Real Oviedo,Racing Santander,1,3,A,1,2,A,2024-25,LA_LIGA_2,Matchday 3
2024-08-31,Cádiz,CD Tenerife,2,2,D,0,1,A,2024-25,LA_LIGA_2,Matchday 3
2024-08-31,UD Almería,Sporting Gijón,1,1,D,0,0,D,2024-25,LA_LIGA_2,Matchday 3
2024-08-31,Málaga,Albacete,2,1,H,1,1,D,2024-25,LA_LIGA_2,Matchday 3
2024-09-01,Burgos,CD Castellón,0,2,A,0,0,D,2024-25,LA_LIGA_2,Matchday 3
2024-09-01,Deportivo La Coruña,Racing Ferrol,1,0,H,0,0,D,2024-25,LA_LIGA_2,Matchday 3
2024-09-01,CD Mirandés,Real Zaragoza,0,0,D,0,0,D,2024-25,LA_LIGA_2,Matchday 3
