Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-01,Luton Town,AFC Wimbledon,1,0,H,0,0,D,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Cardiff City,Peterborough United,2,1,H,0,1,A,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Blackpool,Stevenage,2,3,A,1,2,A,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Bradford City,Wycombe Wanderers,2,1,H,2,0,H,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Burton Albion,Mansfield Town,2,1,H,1,0,H,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Doncaster Rovers,Exeter City,1,0,H,0,0,D,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Huddersfield Town,Leyton Orient,3,0,H,1,0,H,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Lincoln City,Reading,2,0,H,1,0,H,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Plymouth Argyle,Barnsley,1,3,A,0,2,A,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Rotherham United,Port Vale,2,1,H,2,0,H,2025-26,LEAGUE_ONE,1. Round
2025-08-02,Wigan Athletic,Northampton Town,3,1,H,2,0,H,2025-26,LEAGUE_ONE,1. Round
2025-08-03,Stockport County,Bolton Wanderers,2,0,H,1,0,H,2025-26,LEAGUE_ONE,1. Round
2025-08-07,Port Vale,Cardiff City,0,0,D,0,0,D,2025-26,LEAGUE_ONE,2. Round
2025-08-09,Peterborough United,Luton Town,0,2,A,0,0,D,2025-26,LEAGUE_ONE,2. Round
2025-08-09,Reading,Huddersfield Town,0,2,A,0,0,D,2025-26,LEAGUE_ONE,2. Round
2025-08-09,AFC Wimbledon,Lincoln City,2,0,H,1,0,H,2025-26,LEAGUE_ONE,2. Round
2025-08-09,Barnsley,Burton Albion,3,2,H,0,2,A,2025-26,LEAGUE_ONE,2. Round
2025-08-09,Bolton Wanderers,Plymouth Argyle,2,0,H,1,0,H,2025-26,LEAGUE_ONE,2. Round
2025-08-09,Exeter City,Blackpool,4,1,H,2,1,H,2025-26,LEAGUE_ONE,2. Round
2025-08-09,Leyton Orient,Wigan Athletic,2,0,H,1,0,H,2025-26,LEAGUE_ONE,2. Round
2025-08-09,Mansfield Town,Doncaster Rovers,1,2,A,0,0,D,2025-26,LEAGUE_ONE,2. Round
