Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-02,Accrington Stanley,Gillingham,1,1,D,0,0,D,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Bristol Rovers,Harrogate Town,0,1,A,0,0,D,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Cambridge United,Cheltenham Town,1,0,H,0,0,D,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Colchester United,Tranmere Rovers,1,1,D,0,1,A,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Barnet,Fleetwood Town,0,2,A,0,1,A,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Chesterfield,Barrow,1,0,H,1,0,H,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Grimsby Town,Crawley Town,3,0,H,2,0,H,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Milton Keynes Dons,Oldham Athletic,0,0,D,0,0,D,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Newport County,Notts County,1,1,D,0,0,D,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Salford City,Crewe Alexandra,1,3,A,1,3,A,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Shrewsbury Town,Bromley,0,0,D,0,0,D,2025-26,LEAGUE_TWO,1. Round
2025-08-02,Walsall,Swindon Town,2,1,H,1,0,H,2025-26,LEAGUE_TWO,1. Round
2025-08-09,Notts County,Salford City,1,2,A,0,1,A,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Tranmere Rovers,Shrewsbury Town,4,0,H,2,0,H,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Barrow,Milton Keynes Dons,0,2,A,0,0,D,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Bromley,Barnet,2,0,H,1,0,H,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Cheltenham Town,Chesterfield,0,2,A,0,0,D,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Crawley Town,Newport County,1,2,A,0,0,D,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Crewe Alexandra,Accrington Stanley,2,0,H,2,0,H,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Gillingham,Walsall,1,0,H,0,0,D,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Fleetwood Town,Bristol Rovers,2,1,H,2,0,H,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Harrogate Town,Grimsby Town,3,3,D,0,0,D,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Oldham Athletic,Colchester United,1,1,D,1,1,D,2025-26,LEAGUE_TWO,2. Round
2025-08-09,Swindon Town,Cambridge United,3,2,H,2,1,H,2025-26,LEAGUE_TWO,2. Round
2025-08-16,Chesterfield,Bristol Rovers,3,1,H,1,0,H,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Oldham Athletic,Swindon Town,1,2,A,1,2,A,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Barrow,Notts County,2,1,H,1,0,H,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Bromley,Fleetwood Town,2,2,D,1,1,D,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Cambridge United,Harrogate Town,1,1,D,1,0,H,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Crewe Alexandra,Crawley Town,1,0,H,1,0,H,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Barnet,Walsall,1,2,A,1,2,A,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Grimsby Town,Newport County,2,1,H,1,0,H,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Milton Keynes Dons,Cheltenham Town,5,0,H,3,0,H,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Salford City,Accrington Stanley,2,1,H,2,0,H,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Shrewsbury Town,Colchester United,0,2,A,0,0,D,2025-26,LEAGUE_TWO,3. Round
2025-08-16,Tranmere Rovers,Gillingham,1,1,D,0,0,D,2025-26,LEAGUE_TWO,3. Round
2025-08-19,Newport County,Salford City,0,1,A,0,0,D,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Bristol Rovers,Oldham Athletic,0,0,D,0,0,D,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Cheltenham Town,Bromley,1,2,A,0,1,A,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Colchester United,Cambridge United,1,2,A,1,2,A,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Crawley Town,Milton Keynes Dons,1,1,D,1,0,H,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Gillingham,Chesterfield,4,1,H,1,0,H,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Fleetwood Town,Crewe Alexandra,1,4,A,0,2,A,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Harrogate Town,Barrow,1,0,H,1,0,H,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Swindon Town,Barnet,0,2,A,0,0,D,2025-26,LEAGUE_TWO,4. Round
2025-08-19,Walsall,Grimsby Town,0,1,A,0,0,D,2025-26,LEAGUE_TWO,4. Round
2025-08-20,Notts County,Shrewsbury Town,4,1,H,2,1,H,2025-26,LEAGUE_TWO,4. Round
2025-10-28,Accrington Stanley,Tranmere Rovers,1,1,D,1,0,H,2025-26,LEAGUE_TWO,4. Round
2025-08-23,Newport County,Milton Keynes Dons,1,2,A,1,1,D,2025-26,LEAGUE_TWO,5. Round
2025-08-23,Walsall,Salford City,1,0,H,1,0,H,2025-26,LEAGUE_TWO,5. Round
2025-08-23,Accrington Stanley,Grimsby Town,1,1,D,0,1,A,2025-26,LEAGUE_TWO,5. Round
