Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-09,EA Guingamp,Le Mans,3,3,D,0,2,A,2025-26,LIGUE_2,1. Round
2025-08-09,ESTAC Troyes,Grenoble Foot 38,2,1,H,1,1,D,2025-26,LIGUE_2,1. Round
2025-08-09,Pau,FC Annecy,2,0,H,1,0,H,2025-26,LIGUE_2,1. Round
2025-08-09,Montpellier HSC,Red Star,1,1,D,1,1,D,2025-26,LIGUE_2,1. Round
2025-08-09,Rodez AF,AS Nancy Lorraine,0,0,D,0,0,D,2025-26,LIGUE_2,1. Round
2025-08-09,Stade Lavallois,AS Saint-Étienne,3,3,D,2,2,D,2025-26,LIGUE_2,1. Round
2025-08-09,USL Dunkerque,Clermont Foot 63,2,2,D,1,2,A,2025-26,LIGUE_2,1. Round
2025-08-11,Amiens,Stade de Reims,2,2,D,1,1,D,2025-26,LIGUE_2,1. Round
2025-09-16,US Boulogne,SC Bastia,1,0,H,0,0,D,2025-26,LIGUE_2,1. Round
2025-08-15,AS Nancy Lorraine,US Boulogne,1,0,H,1,0,H,2025-26,LIGUE_2,2. Round
2025-08-15,Clermont Foot 63,ESTAC Troyes,0,0,D,0,0,D,2025-26,LIGUE_2,2. Round
2025-08-15,Red Star,Amiens,1,3,A,0,1,A,2025-26,LIGUE_2,2. Round
2025-08-15,Grenoble Foot 38,Stade Lavallois,1,1,D,0,0,D,2025-26,LIGUE_2,2. Round
2025-08-15,SC Bastia,Pau,1,1,D,1,0,H,2025-26,LIGUE_2,2. Round
2025-08-16,FC Annecy,USL Dunkerque,2,2,D,2,1,H,2025-26,LIGUE_2,2. Round
2025-08-16,Stade de Reims,EA Guingamp,1,0,H,1,0,H,2025-26,LIGUE_2,2. Round
2025-08-16,AS Saint-Étienne,Rodez AF,4,0,H,1,0,H,2025-26,LIGUE_2,2. Round
2025-08-18,Le Mans,Montpellier HSC,1,2,A,0,0,D,2025-26,LIGUE_2,2. Round
2025-08-22,Clermont Foot 63,Grenoble Foot 38,2,1,H,0,0,D,2025-26,LIGUE_2,3. Round
2025-08-22,Le Mans,SC Bastia,1,0,H,0,0,D,2025-26,LIGUE_2,3. Round
2025-08-22,Rodez AF,Stade Lavallois,1,1,D,1,0,H,2025-26,LIGUE_2,3. Round
2025-08-22,Amiens,FC Annecy,0,1,A,0,1,A,2025-26,LIGUE_2,3. Round
2025-08-22,USL Dunkerque,AS Nancy Lorraine,1,3,A,1,2,A,2025-26,LIGUE_2,3. Round
2025-08-23,EA Guingamp,Red Star,0,4,A,0,1,A,2025-26,LIGUE_2,3. Round
2025-08-23,ESTAC Troyes,Montpellier HSC,1,0,H,1,0,H,2025-26,LIGUE_2,3. Round
2025-08-23,US Boulogne,AS Saint-Étienne,0,1,A,0,0,D,2025-26,LIGUE_2,3. Round
2025-08-25,Pau,Stade de Reims,2,0,H,2,0,H,2025-26,LIGUE_2,3. Round
2025-08-29,AS Nancy Lorraine,Pau,2,2,D,2,1,H,2025-26,LIGUE_2,4. Round
2025-08-29,Red Star,FC Annecy,1,0,H,1,0,H,2025-26,LIGUE_2,4. Round
2025-08-29,Montpellier HSC,Amiens,1,1,D,0,1,A,2025-26,LIGUE_2,4. Round
2025-08-29,Rodez AF,US Boulogne,1,0,H,1,0,H,2025-26,LIGUE_2,4. Round
2025-08-29,Stade Lavallois,Clermont Foot 63,0,0,D,0,0,D,2025-26,LIGUE_2,4. Round
2025-08-29,USL Dunkerque,ESTAC Troyes,2,0,H,0,0,D,2025-26,LIGUE_2,4. Round
2025-08-30,SC Bastia,EA Guingamp,1,3,A,0,2,A,2025-26,LIGUE_2,4. Round
2025-08-30,Stade de Reims,Le Mans,1,0,H,0,0,D,2025-26,LIGUE_2,4. Round
2025-08-30,AS Saint-Étienne,Grenoble Foot 38,1,1,D,1,0,H,2025-26,LIGUE_2,4. Round
2025-09-12,US Boulogne,Stade Lavallois,1,2,A,0,2,A,2025-26,LIGUE_2,5. Round
2025-09-12,ESTAC Troyes,AS Nancy Lorraine,3,0,H,1,0,H,2025-26,LIGUE_2,5. Round
2025-09-12,Pau,Red Star,0,3,A,0,2,A,2025-26,LIGUE_2,5. Round
2025-09-12,Le Mans,Rodez AF,0,1,A,0,0,D,2025-26,LIGUE_2,5. Round
2025-09-12,Amiens,SC Bastia,0,0,D,0,0,D,2025-26,LIGUE_2,5. Round
2025-09-13,FC Annecy,Stade de Reims,1,1,D,1,0,H,2025-26,LIGUE_2,5. Round
2025-09-13,Grenoble Foot 38,USL Dunkerque,1,0,H,1,0,H,2025-26,LIGUE_2,5. Round
2025-09-13,Clermont Foot 63,AS Saint-Étienne,1,2,A,1,0,H,2025-26,LIGUE_2,5. Round
2025-09-15,EA Guingamp,Montpellier HSC,1,0,H,1,0,H,2025-26,LIGUE_2,5. Round
2025-09-19,US Boulogne,Pau,0,3,A,0,3,A,2025-26,LIGUE_2,6. Round
2025-09-19,AS Nancy Lorraine,Red Star,0,1,A,0,0,D,2025-26,LIGUE_2,6. Round
2025-09-19,Grenoble Foot 38,FC Annecy,1,3,A,0,0,D,2025-26,LIGUE_2,6. Round
2025-09-19,Rodez AF,Clermont Foot 63,0,1,A,0,0,D,2025-26,LIGUE_2,6. Round
2025-09-19,Stade Lavallois,Amiens,0,3,A,0,1,A,2025-26,LIGUE_2,6. Round
