Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-08,Casa Pia,Sporting Clube de Portugal,0,2,A,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-09,CD Nacional,Gil Vicente,0,2,A,0,2,A,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-09,FC Arouca,AVS,3,1,H,1,0,H,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-10,FC Famalicão,CD Santa Clara,3,0,H,2,0,H,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-10,Sporting Clube de Braga,CD Tondela,3,0,H,2,0,H,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-10,Moreirense,FC Alverca,2,1,H,1,1,D,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-11,GD Estoril Praia,CF Estrela da Amadora,1,1,D,1,0,H,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-11,FC Porto,Vitória Guimarães,3,0,H,2,0,H,2025-26,PRIMEIRA_LIGA,Matchday 1
2025-08-15,AVS,Casa Pia,0,2,A,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-16,CD Tondela,FC Famalicão,0,1,A,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-16,Vitória Guimarães,GD Estoril Praia,3,2,H,1,1,D,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-16,CF Estrela da Amadora,Sport Lisboa e Benfica,0,1,A,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-17,Rio Ave,CD Nacional,1,1,D,1,0,H,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-17,FC Alverca,Sporting Clube de Braga,0,3,A,0,3,A,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-17,CD Santa Clara,Moreirense,0,1,A,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-17,Sporting Clube de Portugal,FC Arouca,6,0,H,3,0,H,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-18,Gil Vicente,FC Porto,0,2,A,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 2
2025-08-23,Moreirense,Vitória Guimarães,2,0,H,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-23,CD Nacional,Sporting Clube de Portugal,1,4,A,1,0,H,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-23,FC Arouca,Rio Ave,3,3,D,1,0,H,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-23,Sport Lisboa e Benfica,CD Tondela,3,0,H,2,0,H,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-24,FC Famalicão,Gil Vicente,0,0,D,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-24,FC Porto,Casa Pia,4,0,H,3,0,H,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-24,Sporting Clube de Braga,AVS,2,2,D,1,2,A,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-25,CF Estrela da Amadora,FC Alverca,2,2,D,1,2,A,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-08-29,Gil Vicente,Moreirense,2,0,H,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-30,Casa Pia,CD Nacional,0,2,A,0,2,A,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-30,AVS,FC Famalicão,0,1,A,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-30,Vitória Guimarães,FC Arouca,1,1,D,1,1,D,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-30,Sporting Clube de Portugal,FC Porto,1,2,A,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-31,CD Tondela,GD Estoril Praia,2,2,D,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-31,FC Alverca,Sport Lisboa e Benfica,1,2,A,0,2,A,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-31,CD Santa Clara,CF Estrela da Amadora,0,0,D,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-08-31,Rio Ave,Sporting Clube de Braga,2,2,D,2,1,H,2025-26,PRIMEIRA_LIGA,Matchday 4
2025-09-06,GD Estoril Praia,CD Santa Clara,0,1,A,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 3
2025-09-12,FC Alverca,CD Tondela,1,0,H,1,0,H,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-12,Sport Lisboa e Benfica,CD Santa Clara,1,1,D,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-13,Moreirense,Rio Ave,3,1,H,0,0,D,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-13,GD Estoril Praia,AVS,3,1,H,2,0,H,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-13,FC Porto,CD Nacional,1,0,H,1,0,H,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-13,FC Famalicão,Sporting Clube de Portugal,1,2,A,1,1,D,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-14,CF Estrela da Amadora,Vitória Guimarães,0,2,A,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-14,FC Arouca,Casa Pia,0,2,A,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 5
2025-09-14,Sporting Clube de Braga,Gil Vicente,0,1,A,0,1,A,2025-26,PRIMEIRA_LIGA,Matchday 5
