Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-02,Kilmarnock,Livingston,2,2,D,2,0,H,2025-26,SCOTTISH_PREM,1. Round
2025-08-02,Motherwell,Rangers,1,1,D,0,1,A,2025-26,SCOTTISH_PREM,1. Round
2025-08-03,Falkirk,Dundee United,2,2,D,0,1,A,2025-26,SCOTTISH_PREM,1. Round
2025-08-03,Dundee,Hibernian,1,2,A,1,2,A,2025-26,SCOTTISH_PREM,1. Round
2025-08-03,Celtic,St. Mirren,1,0,H,0,0,D,2025-26,SCOTTISH_PREM,1. Round
2025-08-04,Heart of Midlothian,Aberdeen,2,0,H,1,0,H,2025-26,SCOTTISH_PREM,1. Round
2025-08-09,St. Mirren,Motherwell,0,0,D,0,0,D,2025-26,SCOTTISH_PREM,2. Round
2025-08-09,Livingston,Falkirk,3,1,H,2,0,H,2025-26,SCOTTISH_PREM,2. Round
2025-08-09,Rangers,Dundee,1,1,D,0,0,D,2025-26,SCOTTISH_PREM,2. Round
2025-08-10,Aberdeen,Celtic,0,2,A,0,1,A,2025-26,SCOTTISH_PREM,2. Round
2025-08-10,Dundee United,Heart of Midlothian,2,3,A,2,1,H,2025-26,SCOTTISH_PREM,2. Round
2025-08-10,Hibernian,Kilmarnock,2,2,D,2,1,H,2025-26,SCOTTISH_PREM,2. Round
2025-08-23,Celtic,Livingston,3,0,H,0,0,D,2025-26,SCOTTISH_PREM,3. Round
2025-08-23,Kilmarnock,Dundee,0,0,D,0,0,D,2025-26,SCOTTISH_PREM,3. Round
2025-08-23,Heart of Midlothian,Motherwell,3,3,D,0,1,A,2025-26,SCOTTISH_PREM,3. Round
2025-08-24,St. Mirren,Rangers,1,1,D,1,0,H,2025-26,SCOTTISH_PREM,3. Round
2025-09-23,Dundee United,Aberdeen,2,0,H,1,0,H,2025-26,SCOTTISH_PREM,3. Round
2025-09-23,Falkirk,Hibernian,2,2,D,1,2,A,2025-26,SCOTTISH_PREM,3. Round
2025-08-30,Livingston,Heart of Midlothian,1,2,A,1,0,H,2025-26,SCOTTISH_PREM,4. Round
2025-08-30,Motherwell,Kilmarnock,2,2,D,1,1,D,2025-26,SCOTTISH_PREM,4. Round
2025-08-31,Rangers,Celtic,0,0,D,0,0,D,2025-26,SCOTTISH_PREM,4. Round
