Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-23,Genoa CFC,US Lecce,0,0,D,0,0,D,2025-26,SERIE_A,Matchday 1
2025-08-23,US Sassuolo Calcio,SSC Napoli,0,2,A,0,1,A,2025-26,SERIE_A,Matchday 1
2025-08-23,AC Milan,US Cremonese,1,2,A,1,1,D,2025-26,SERIE_A,Matchday 1
2025-08-23,AS Roma,Bologna FC 1909,1,0,H,0,0,D,2025-26,SERIE_A,Matchday 1
2025-08-24,Cagliari Calcio,ACF Fiorentina,1,1,D,0,0,D,2025-26,SERIE_A,Matchday 1
2025-08-24,Como 1907,SS Lazio,2,0,H,0,0,D,2025-26,SERIE_A,Matchday 1
2025-08-24,Atalanta BC,AC Pisa 1909,1,1,D,0,1,A,2025-26,SERIE_A,Matchday 1
2025-08-24,Juventus,Parma Calcio 1913,2,0,H,0,0,D,2025-26,SERIE_A,Matchday 1
2025-08-25,Udinese Calcio,Hellas Verona,1,1,D,0,0,D,2025-26,SERIE_A,Matchday 1
2025-08-25,FC Internazionale Milano,Torino,5,0,H,2,0,H,2025-26,SERIE_A,Matchday 1
2025-08-29,US Cremonese,US Sassuolo Calcio,3,2,H,2,0,H,2025-26,SERIE_A,Matchday 2
2025-08-29,US Lecce,AC Milan,0,2,A,0,0,D,2025-26,SERIE_A,Matchday 2
2025-08-30,Bologna FC 1909,Como 1907,1,0,H,0,0,D,2025-26,SERIE_A,Matchday 2
2025-08-30,Parma Calcio 1913,Atalanta BC,1,1,D,0,0,D,2025-26,SERIE_A,Matchday 2
2025-08-30,SSC Napoli,Cagliari Calcio,1,0,H,0,0,D,2025-26,SERIE_A,Matchday 2
2025-08-30,AC Pisa 1909,AS Roma,0,1,A,0,0,D,2025-26,SERIE_A,Matchday 2
2025-08-31,Genoa CFC,Juventus,0,1,A,0,0,D,2025-26,SERIE_A,Matchday 2
2025-08-31,Torino,ACF Fiorentina,0,0,D,0,0,D,2025-26,SERIE_A,Matchday 2
2025-08-31,FC Internazionale Milano,Udinese Calcio,1,2,A,1,2,A,2025-26,SERIE_A,Matchday 2
2025-08-31,SS Lazio,Hellas Verona,4,0,H,3,0,H,2025-26,SERIE_A,Matchday 2
2025-09-13,Cagliari Calcio,Parma Calcio 1913,2,0,H,1,0,H,2025-26,SERIE_A,Matchday 3
2025-09-13,Juventus,FC Internazionale Milano,4,3,H,2,1,H,2025-26,SERIE_A,Matchday 3
