Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-22,Delfino Pescara,Cesena,1,3,A,1,1,D,2025-26,SERIE_B,1. Round
2025-08-23,Empoli,Calcio Padova,3,1,H,2,1,H,2025-26,SERIE_B,1. Round
2025-08-23,Virtus Entella,Juve Stabia,1,1,D,0,0,D,2025-26,SERIE_B,1. Round
2025-08-23,AC Monza,Mantova 1911 SSD,1,0,H,0,0,D,2025-26,SERIE_B,1. Round
2025-08-23,Palermo,AC Reggiana 1919,2,1,H,1,0,H,2025-26,SERIE_B,1. Round
2025-08-24,Spezia Calcio,Carrarese Calcio,0,2,A,0,1,A,2025-26,SERIE_B,1. Round
2025-08-24,Venezia,SSC Bari,2,1,H,2,1,H,2025-26,SERIE_B,1. Round
2025-08-24,US Catanzaro,FC Südtirol,1,1,D,0,1,A,2025-26,SERIE_B,1. Round
2025-08-24,Frosinone Calcio,US Avellino,2,0,H,2,0,H,2025-26,SERIE_B,1. Round
2025-08-25,Sampdoria,Modena,0,2,A,0,0,D,2025-26,SERIE_B,1. Round
2025-08-29,AC Reggiana 1919,Empoli,3,1,H,1,1,D,2025-26,SERIE_B,2. Round
2025-08-30,Juve Stabia,Venezia,0,0,D,0,0,D,2025-26,SERIE_B,2. Round
2025-08-30,Mantova 1911 SSD,Delfino Pescara,2,1,H,1,0,H,2025-26,SERIE_B,2. Round
2025-08-30,Cesena,Virtus Entella,1,1,D,0,0,D,2025-26,SERIE_B,2. Round
2025-08-30,Palermo,Frosinone Calcio,0,0,D,0,0,D,2025-26,SERIE_B,2. Round
2025-08-30,Spezia Calcio,US Catanzaro,0,0,D,0,0,D,2025-26,SERIE_B,2. Round
2025-08-31,Carrarese Calcio,Calcio Padova,0,0,D,0,0,D,2025-26,SERIE_B,2. Round
2025-08-31,FC Südtirol,Sampdoria,3,1,H,3,0,H,2025-26,SERIE_B,2. Round
2025-08-31,SSC Bari,AC Monza,1,1,D,1,1,D,2025-26,SERIE_B,2. Round
2025-08-31,Modena,US Avellino,1,1,D,0,0,D,2025-26,SERIE_B,2. Round
2025-09-12,US Avellino,AC Monza,2,1,H,1,0,H,2025-26,SERIE_B,3. Round
2025-09-13,Juve Stabia,AC Reggiana 1919,0,0,D,0,0,D,2025-26,SERIE_B,3. Round
2025-09-13,Modena,SSC Bari,3,0,H,1,0,H,2025-26,SERIE_B,3. Round
2025-09-13,Calcio Padova,Frosinone Calcio,0,1,A,0,1,A,2025-26,SERIE_B,3. Round
2025-09-13,Delfino Pescara,Venezia,2,2,D,0,1,A,2025-26,SERIE_B,3. Round
2025-09-13,US Catanzaro,Carrarese Calcio,1,1,D,0,0,D,2025-26,SERIE_B,3. Round
2025-09-13,Sampdoria,Cesena,1,2,A,0,1,A,2025-26,SERIE_B,3. Round
2025-09-14,Virtus Entella,Mantova 1911 SSD,1,0,H,1,0,H,2025-26,SERIE_B,3. Round
2025-09-14,FC Südtirol,Palermo,0,2,A,0,1,A,2025-26,SERIE_B,3. Round
2025-09-14,Empoli,Spezia Calcio,1,1,D,0,1,A,2025-26,SERIE_B,3. Round
2025-09-19,Frosinone Calcio,FC Südtirol,2,2,D,2,0,H,2025-26,SERIE_B,4. Round
2025-09-19,Palermo,SSC Bari,2,0,H,0,0,D,2025-26,SERIE_B,4. Round
2025-09-20,AC Reggiana 1919,US Catanzaro,2,2,D,1,1,D,2025-26,SERIE_B,4. Round
2025-09-20,Spezia Calcio,Juve Stabia,1,3,A,0,2,A,2025-26,SERIE_B,4. Round
2025-09-20,Venezia,Cesena,1,2,A,0,0,D,2025-26,SERIE_B,4. Round
2025-09-20,AC Monza,Sampdoria,1,0,H,0,0,D,2025-26,SERIE_B,4. Round
2025-09-20,Mantova 1911 SSD,Modena,1,3,A,1,2,A,2025-26,SERIE_B,4. Round
2025-09-21,Carrarese Calcio,US Avellino,3,4,A,2,2,D,2025-26,SERIE_B,4. Round
2025-09-21,Delfino Pescara,Empoli,4,0,H,0,0,D,2025-26,SERIE_B,4. Round
2025-09-21,Calcio Padova,Virtus Entella,2,1,H,0,1,A,2025-26,SERIE_B,4. Round
2025-09-26,US Catanzaro,Juve Stabia,2,2,D,0,2,A,2025-26,SERIE_B,5. Round
2025-09-27,US Avellino,Virtus Entella,2,0,H,1,0,H,2025-26,SERIE_B,5. Round
2025-09-27,Cesena,Palermo,1,1,D,1,0,H,2025-26,SERIE_B,5. Round
2025-09-27,Mantova 1911 SSD,Frosinone Calcio,1,5,A,0,4,A,2025-26,SERIE_B,5. Round
2025-09-27,FC Südtirol,AC Reggiana 1919,3,1,H,2,0,H,2025-26,SERIE_B,5. Round
2025-09-27,Venezia,Spezia Calcio,2,0,H,1,0,H,2025-26,SERIE_B,5. Round
2025-09-27,AC Monza,Calcio Padova,0,1,A,0,0,D,2025-26,SERIE_B,5. Round
2025-09-27,SSC Bari,Sampdoria,1,1,D,1,1,D,2025-26,SERIE_B,5. Round
2025-09-28,Modena,Delfino Pescara,2,1,H,0,1,A,2025-26,SERIE_B,5. Round
2025-09-28,Empoli,Carrarese Calcio,2,2,D,1,1,D,2025-26,SERIE_B,5. Round
2025-09-30,Virtus Entella,SSC Bari,2,2,D,0,1,A,2025-26,SERIE_B,6. Round
2025-09-30,Frosinone Calcio,Cesena,3,1,H,0,0,D,2025-26,SERIE_B,6. Round
2025-09-30,Juve Stabia,Mantova 1911 SSD,2,1,H,2,0,H,2025-26,SERIE_B,6. Round
2025-09-30,Calcio Padova,US Avellino,2,2,D,2,2,D,2025-26,SERIE_B,6. Round
2025-09-30,Palermo,Venezia,0,0,D,0,0,D,2025-26,SERIE_B,6. Round
2025-09-30,AC Reggiana 1919,Spezia Calcio,1,1,D,0,1,A,2025-26,SERIE_B,6. Round
2025-10-01,Carrarese Calcio,Modena,0,0,D,0,0,D,2025-26,SERIE_B,6. Round
2025-10-01,Empoli,AC Monza,1,1,D,0,0,D,2025-26,SERIE_B,6. Round
2025-10-01,Delfino Pescara,FC Südtirol,1,1,D,0,0,D,2025-26,SERIE_B,6. Round
2025-10-01,Sampdoria,US Catanzaro,0,0,D,0,0,D,2025-26,SERIE_B,6. Round
2025-10-04,US Avellino,Mantova 1911 SSD,0,0,D,0,0,D,2025-26,SERIE_B,7. Round
2025-10-04,SSC Bari,Calcio Padova,2,1,H,0,0,D,2025-26,SERIE_B,7. Round
2025-10-04,AC Monza,US Catanzaro,2,1,H,1,1,D,2025-26,SERIE_B,7. Round
2025-10-04,Venezia,Frosinone Calcio,3,0,H,2,0,H,2025-26,SERIE_B,7. Round
2025-10-04,Spezia Calcio,Palermo,1,2,A,0,1,A,2025-26,SERIE_B,7. Round
2025-10-04,Cesena,AC Reggiana 1919,1,2,A,1,2,A,2025-26,SERIE_B,7. Round
2025-10-05,Carrarese Calcio,Juve Stabia,3,0,H,1,0,H,2025-26,SERIE_B,7. Round
2025-10-05,FC Südtirol,Empoli,1,2,A,1,0,H,2025-26,SERIE_B,7. Round
2025-10-05,Sampdoria,Delfino Pescara,4,1,H,0,1,A,2025-26,SERIE_B,7. Round
2025-10-05,Modena,Virtus Entella,2,0,H,0,0,D,2025-26,SERIE_B,7. Round
2025-10-17,Virtus Entella,Sampdoria,3,1,H,2,0,H,2025-26,SERIE_B,8. Round
2025-10-18,Frosinone Calcio,AC Monza,0,1,A,0,1,A,2025-26,SERIE_B,8. Round
2025-10-18,Mantova 1911 SSD,FC Südtirol,1,1,D,0,1,A,2025-26,SERIE_B,8. Round
2025-10-18,Delfino Pescara,Carrarese Calcio,2,2,D,0,1,A,2025-26,SERIE_B,8. Round
2025-10-18,AC Reggiana 1919,SSC Bari,3,1,H,1,1,D,2025-26,SERIE_B,8. Round
2025-10-18,Juve Stabia,US Avellino,2,0,H,2,0,H,2025-26,SERIE_B,8. Round
2025-10-18,Spezia Calcio,Cesena,1,2,A,1,2,A,2025-26,SERIE_B,8. Round
2025-10-19,Palermo,Modena,1,1,D,1,0,H,2025-26,SERIE_B,8. Round
2025-10-19,Empoli,Venezia,1,1,D,1,1,D,2025-26,SERIE_B,8. Round
2025-10-19,US Catanzaro,Calcio Padova,0,1,A,0,1,A,2025-26,SERIE_B,8. Round
2025-10-24,Modena,Empoli,2,1,H,1,1,D,2025-26,SERIE_B,9. Round
2025-10-25,US Avellino,Spezia Calcio,0,4,A,0,0,D,2025-26,SERIE_B,9. Round
2025-10-25,Virtus Entella,Delfino Pescara,1,1,D,0,0,D,2025-26,SERIE_B,9. Round
2025-10-25,AC Monza,AC Reggiana 1919,3,1,H,3,1,H,2025-26,SERIE_B,9. Round
2025-10-25,Sampdoria,Frosinone Calcio,1,1,D,0,1,A,2025-26,SERIE_B,9. Round
2025-10-25,FC Südtirol,Cesena,0,1,A,0,1,A,2025-26,SERIE_B,9. Round
2025-10-25,Carrarese Calcio,Venezia,3,2,H,1,1,D,2025-26,SERIE_B,9. Round
2025-10-25,US Catanzaro,Palermo,1,0,H,1,0,H,2025-26,SERIE_B,9. Round
2025-10-26,Calcio Padova,Juve Stabia,2,2,D,1,1,D,2025-26,SERIE_B,9. Round
2025-10-26,SSC Bari,Mantova 1911 SSD,1,0,H,0,0,D,2025-26,SERIE_B,9. Round
2025-10-28,Cesena,Carrarese Calcio,2,1,H,1,0,H,2025-26,SERIE_B,10. Round
2025-10-28,Empoli,Sampdoria,1,1,D,0,0,D,2025-26,SERIE_B,10. Round
2025-10-28,Frosinone Calcio,Virtus Entella,4,0,H,1,0,H,2025-26,SERIE_B,10. Round
2025-10-28,Palermo,AC Monza,0,3,A,0,1,A,2025-26,SERIE_B,10. Round
2025-10-28,Delfino Pescara,US Avellino,1,1,D,1,1,D,2025-26,SERIE_B,10. Round
2025-10-28,AC Reggiana 1919,Modena,1,0,H,1,0,H,2025-26,SERIE_B,10. Round
2025-10-29,Mantova 1911 SSD,US Catanzaro,1,3,A,1,0,H,2025-26,SERIE_B,10. Round
2025-10-29,Spezia Calcio,Calcio Padova,1,1,D,1,0,H,2025-26,SERIE_B,10. Round
2025-10-29,Venezia,FC Südtirol,3,0,H,2,0,H,2025-26,SERIE_B,10. Round
2025-11-01,US Avellino,AC Reggiana 1919,4,3,H,1,1,D,2025-26,SERIE_B,11. Round
