Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2025-07-27,England Women's,Spain Women's,1,1,D,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-23,Germany Women's,Spain Women's,0,1,A,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-22,England Women's,Italy Women's,2,1,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-19,France Women's,Germany Women's,1,1,D,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-18,Spain Women's,Switzerland Women's,2,0,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-17,Sweden Women's,England Women's,2,2,D,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-16,Norway Women's,Italy Women's,1,2,A,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-13,England Women's,Wales,6,1,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-13,Netherlands Women's,France Women's,2,5,A,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-12,Poland Women's,Denmark Women's,3,2,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-12,Sweden Women's,Germany Women's,4,1,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-11,Italy Women's,Spain Women's,1,3,A,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-11,Portugal Women's,Belgium Women's,1,2,A,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-10,WNT Finland,Switzerland Women's,1,1,D,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-10,Norway Women's,Iceland Women's,4,3,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-09,England Women's,Netherlands Women's,4,0,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-09,France Women's,Wales,4,1,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-08,Poland Women's,Sweden Women's,0,3,A,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-08,Germany Women's,Denmark Women's,2,1,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-07,Portugal Women's,Italy Women's,1,1,D,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-07,Spain Women's,Belgium Women's,6,2,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-06,Switzerland Women's,Iceland Women's,2,0,H,UEFA Women's Euro,2025,UEFA Women's Euro
2025-07-06,Norway Women's,WNT Finland,2,1,H,UEFA Women's Euro,2025,UEFA Women's Euro
