Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2023-08-16,Australia Women's,England Women's,1,3,A,Women's World Cup,2023,Women's World Cup
2023-08-20,Spain Women's,England Women's,1,0,H,Women's World Cup,2023,Women's World Cup
2023-08-19,Sweden Women's,Australia Women's,2,0,H,Women's World Cup,2023,Women's World Cup
2023-08-15,Spain Women's,Sweden Women's,2,1,H,Women's World Cup,2023,Women's World Cup
2023-07-26,Spain Women's,Zambia Women's,5,0,H,Women's World Cup,2023,Women's World Cup
2023-07-24,Brazil Women's,Panama Women's,4,0,H,Women's World Cup,2023,Women's World Cup
2023-07-23,Netherlands Women's,Portugal Women's,1,0,H,Women's World Cup,2023,Women's World Cup
2023-07-31,Japan Women's,Spain Women's,4,0,H,Women's World Cup,2023,Women's World Cup
2023-07-29,Sweden Women's,Italy Women's,5,0,H,Women's World Cup,2023,Women's World Cup
2023-07-21,Nigeria Women's,Canada Women's,0,0,D,Women's World Cup,2023,Women's World Cup
2023-08-08,Colombia Women's,Jamaica Women's,1,0,H,Women's World Cup,2023,Women's World Cup
2023-08-12,Australia Women's,France Women's,0,0,D,Women's World Cup,2023,Women's World Cup
2023-08-12,England Women's,Colombia Women's,2,1,H,Women's World Cup,2023,Women's World Cup
2023-08-06,Sweden Women's,United States Women's,0,0,D,Women's World Cup,2023,Women's World Cup
2023-08-06,Netherlands Women's,South Africa Women's,2,0,H,Women's World Cup,2023,Women's World Cup
2023-08-11,Spain Women's,Netherlands Women's,2,1,H,Women's World Cup,2023,Women's World Cup
2023-08-11,Japan Women's,Sweden Women's,1,2,A,Women's World Cup,2023,Women's World Cup
2023-07-27,United States Women's,Netherlands Women's,1,1,D,Women's World Cup,2023,Women's World Cup
2023-08-08,France Women's,Morocco Women's,4,0,H,Women's World Cup,2023,Women's World Cup
2023-08-01,Portugal Women's,United States Women's,0,0,D,Women's World Cup,2023,Women's World Cup
2023-08-07,Australia Women's,Denmark Women's,2,0,H,Women's World Cup,2023,Women's World Cup
2023-08-07,England Women's,Nigeria Women's,0,0,D,Women's World Cup,2023,Women's World Cup
2023-08-05,Japan Women's,Norway Women's,3,1,H,Women's World Cup,2023,Women's World Cup
2023-08-05,Switzerland Women's,Spain Women's,1,5,A,Women's World Cup,2023,Women's World Cup
2023-07-31,Costa Rica Women's,Zambia Women's,1,3,A,Women's World Cup,2023,Women's World Cup
2023-07-28,England Women's,Denmark Women's,1,0,H,Women's World Cup,2023,Women's World Cup
2023-07-28,Argentina Women's,South Africa Women's,2,2,D,Women's World Cup,2023,Women's World Cup
2023-07-28,China PR Women's,Haiti Women's,1,0,H,Women's World Cup,2023,Women's World Cup
2023-07-27,Portugal Women's,Vietnam Women's,2,0,H,Women's World Cup,2023,Women's World Cup
2023-07-27,Australia Women's,Nigeria Women's,2,3,A,Women's World Cup,2023,Women's World Cup
2023-07-26,Canada Women's,Republic of Ireland Women's,2,1,H,Women's World Cup,2023,Women's World Cup
2023-07-25,Switzerland Women's,Norway Women's,0,0,D,Women's World Cup,2023,Women's World Cup
2023-07-20,Australia Women's,Republic of Ireland Women's,1,0,H,Women's World Cup,2023,Women's World Cup
2023-07-23,France Women's,Jamaica Women's,0,0,D,Women's World Cup,2023,Women's World Cup
2023-07-21,Philippines Women's,Switzerland Women's,0,2,A,Women's World Cup,2023,Women's World Cup
2023-07-22,England Women's,Haiti Women's,1,0,H,Women's World Cup,2023,Women's World Cup
2023-07-22,United States Women's,Vietnam Women's,3,0,H,Women's World Cup,2023,Women's World Cup
